BIGGEST	SMALLEST	RANDOM	SIMILARITY
49444921	17084866	2872438	59774870	
227201	97038	58783	333104	
382556	330305	87241	1922578	
66714	55051	42921	462799	
6113434	9113701	811299	39142496	
121765	87242	80244	383023	
481461	449737	148357	1182192	
55518	64848	61583	327971	
7478040	3052519	5552663	22913250	
112901	47120	65781	199676	
266856	232333	62049	1388866	
55984	38256	25659	327505	
9301713	4446982	522516	19198255	
70913	46187	37323	327505	
565904	438074	69980	1198987	
53184	61115	20061	214605	
5207429	2581788	295781	28321754	
62048	79311	27992	244462	
254260	234666	86308	1035700	
57383	41988	25659	212272	
