2074609	147262	121825	581908	367708	319960	
186532	122718	136553	677405	584139	539961	
345843	115579	103530	1292781	326653	397607	
52657	31683	24097	71846	53550	58904	
33468	31683	23205	104869	77201	82109	
121826	69615	57120	138783	108438	113793	
66937	62475	69169	216431	165558	173145	
108438	89250	99067	353429	418135	341827	
200366	159310	163773	525681	448479	491319	
228925	166897	196349	538621	485072	477040	
62921	49980	41055	120040	142353	116025	
176714	202597	189209	774687	887588	2116110	
293631	96390	92819	376633	419920	320406	
95498	90142	67383	268642	250792	492212	
