0.50	0.50	0.50	0.50	
0.57	0.57	0.57	0.57	
0.56	0.56	0.56	0.56	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.60	0.60	0.60	0.60	
0.58	0.58	0.58	0.58	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.60	0.60	0.60	0.60	
0.50	0.50	0.50	0.50	
0.50	0.50	0.50	0.50	
0.60	0.60	0.60	0.60	
0.57	0.57	0.57	0.57	
0.56	0.56	0.56	0.56	
0.57	0.57	0.57	0.57	
0.50	0.50	0.50	0.50	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	
0.60	0.60	0.60	0.60	
0.57	0.57	0.57	0.57	
0.00	0.00	0.00	0.00	
0.50	0.50	0.50	0.50	
0.59	0.59	0.59	0.59	
