RANDOM	SIMILARITY
12867123	122732111	
1463694	43153994	
1687265	39991432	
508277	28662527	
2810917	47144792	
1373999	38589766	
450710	85781860	
448033	39412648	
575214	50059239	
1494931	85526160	
592172	46721302	
429737	37916823	
394930	55505700	
390468	37813741	
564950	52036566	
1100002	44277201	
556026	59521042	
469899	36539255	
473916	38898570	
380204	51293116	
218216	32278477	
767101	34035802	
218215	35917631	
335579	61991026	
510954	21369491	
195903	24136231	
354321	31250767	
245437	29186868	
326653	22304828	
216431	25771285	
477040	30855391	
684099	27865528	
356106	27019887	
375741	19248027	
365924	19190461	
322638	30410035	
386897	31742979	
415457	19385918	
240527	21674279	
332009	30014659	
266411	21138334	
423490	30747845	
363246	30008412	
361908	30607277	
237851	25458910	
228032	22007180	
331563	26076964	
402516	36420554	
361015	33678804	
389129	35291992	
398053	23106290	
407870	29492995	
238743	18601414	
240975	26675383	
379311	21234279	
195010	27804838	
295862	25907390	
380204	31596609	
309697	32209308	
430184	26304105	
364585	26888690	
410102	24012173	
345843	26314369	
343165	22384260	
379758	24368280	
260163	18743320	
379311	19057032	
313713	20097238	
193671	46779315	
390467	26753477	
199027	27848570	
319960	31586792	
329778	26437087	
419919	17880722	
249899	17203317	
341827	26656641	
180731	23711848	
255700	23673917	
186532	20455575	
927750	21553791	
295863	18278775	
355660	15135403	
290061	19537642	
248114	25579844	
456066	26332219	
405194	36703475	
777811	30884843	
418135	21344948	
226248	27626339	
247221	27750396	
2609660	26066254	
661787	23731930	
209737	15201448	
244098	20979470	
227586	18463522	
246775	24136230	
322191	17029727	
182962	20025838	
254362	19756750	
203043	26784268	
45518	270427	
35700	267303	
24543	190101	
30345	543530	
34807	239635	
33915	257039	
28560	284706	
36146	281136	
34361	262394	
33022	254808	
30791	282475	
38378	265071	
33023	157079	
25436	252130	
40609	266856	
66937	181623	
39716	194565	
29007	186086	
29006	264625	
29452	298987	
73185	263733	
31683	245436	
37485	1349454	
33023	265518	
32576	267749	
73185	190548	
28560	161095	
41947	320406	
53104	408317	
44625	261055	
53996	243652	
28114	300771	
43286	248114	
139229	166897	
57566	273104	
46409	278905	
36146	435539	
28113	191440	
31683	267749	
31684	252576	
30345	262394	
29006	182515	
31684	163773	
52211	216430	
43286	179392	
24544	184747	
25882	183854	
25882	248560	
46410	265071	
31683	250791	
150832	257485	
31238	186086	
29452	203043	
62474	241420	
32130	237404	
148601	288723	
42840	238743	
32130	277120	
42839	244097	
31683	239189	
28560	772009	
58458	256593	
30791	252576	
33022	269534	
34807	262840	
32130	332008	
31684	228479	
200812	287830	
341380	234727	
33914	262394	
32576	246329	
31684	202597	
30345	190994	
20528	146816	
27667	194564	
21866	242759	
29453	203043	
41501	333793	
73185	269980	
43286	328439	
53996	261502	
33022	268642	
44624	343611	
28560	187424	
32576	188317	
28114	281582	
42394	289169	
33915	182962	
31684	165112	
27667	361907	
42839	269980	
36147	284260	
47749	204828	
27667	153063	
32130	271765	
32130	253023	
27667	255700	
29452	267749	
37039	198580	
34361	323084	
118702	909454	
70507	1463695	
74970	904992	
101745	967020	
59351	1299475	
55334	1552052	
49980	912132	
86125	1835865	
53550	3296436	
76308	1455215	
96389	1016999	
94605	1060732	
157972	969698	
58013	2922480	
158864	916594	
64260	989332	
48641	931320	
95943	1434242	
178499	960326	
53996	1010306	
53550	1470835	
72739	931321	
57566	1730997	
57120	902314	
59797	1588198	
62921	1905480	
37039	1289657	
63814	1439151	
59351	1677894	
71400	1564547	
64260	1616758	
61136	1475743	
52658	915255	
50873	1343208	
51764	1558746	
76309	913470	
56674	921503	
58458	947831	
84341	915256	
70061	1001381	
53996	912132	
52657	1004504	
46410	1619881	
49087	1853715	
75416	1616757	
61582	1958583	
62921	1463248	
77201	1606494	
51765	913470	
69615	927304	
66045	2013919	
623409	935782	
69168	1481544	
114686	916148	
61136	967913	
55335	906776	
61136	1644871	
47748	2090673	
59351	921056	
45071	1472620	
45517	928642	
48641	951401	
64259	904546	
47302	944262	
42394	1492254	
114686	1511443	
56227	1372660	
592171	1286534	
51765	905437	
59797	1177649	
39270	1445398	
55335	1689049	
59351	1838543	
59797	1543127	
62028	1528847	
59797	1681464	
70061	1460571	
46410	913917	
70954	1004505	
41947	1569456	
50426	1644425	
49980	1549374	
38823	918825	
44179	3652988	
53550	921503	
52211	1160246	
45964	915701	
46856	1722072	
81663	1697082	
81217	902760	
46856	913916	
72739	1371767	
60690	1771606	
41947	1269576	
37931	912131	
96836	902314	
45517	917932	
42840	1575256	
46410	1690388	
41947	1504749	
49980	227140	
21867	150386	
20081	232496	
22759	282476	
21866	169574	
20974	251238	
20527	245437	
21866	248114	
23651	242759	
22758	244990	
60243	250791	
20974	229372	
21420	232049	
19635	265518	
17403	240081	
19188	249899	
18297	166451	
21420	280244	
32130	249899	
75862	265518	
26328	248560	
19189	244098	
16511	229817	
17403	243206	
29006	155294	
19188	187871	
35253	241867	
20081	167343	
19189	261501	
35253	231603	
25437	253023	
97282	260163	
42839	239635	
23651	166897	
20081	419474	
40609	261055	
27221	253915	
27667	250792	
20974	302557	
20974	175821	
36146	283368	
27221	361907	
132982	224016	
17403	588155	
31684	262840	
17404	498459	
25436	419473	
25436	252130	
20973	249899	
21866	253469	
20081	322191	
28560	232495	
18296	176268	
19635	265072	
20527	237404	
23651	223570	
186086	250792	
20973	243205	
14280	170467	
10710	138784	
13833	548439	
24098	160649	
8925	138783	
12049	174036	
16065	149939	
15172	170913	
21866	243652	
16065	166450	
40608	402070	
20528	180731	
24098	232942	
18743	159757	
17404	224463	
17850	262840	
13834	226248	
14280	234727	
16958	234727	
30345	253915	
125842	294524	
20974	244544	
15618	240974	
15619	224909	
17404	257931	
19635	224016	
33468	303895	
21420	228925	
16958	224462	
16511	166004	
12049	146815	
19189	167343	
16065	168682	
10710	172252	
16511	169128	
13387	145477	
11603	139675	
11602	136999	
18296	156187	
30791	178500	
24544	265518	
37039	260163	
