RANDOM	SIMILARITY
2482416	49346948	
1194322	31747965	
435274	37240445	
2287873	19901785	
393753	19558418	
1386533	24645482	
160953	38098397	
109168	22711707	
177749	17935820	
99371	22141139	
198276	18492859	
174017	18936065	
159087	26487817	
973186	17570992	
137161	21814100	
222536	16998091	
126897	16609003	
69980	22643127	
110568	17274744	
345234	17219694	
149756	20920225	
127830	17543467	
217871	22089354	
105437	20050610	
230933	17041012	
231866	19710974	
527648	19374605	
113833	16162999	
98438	19456248	
206207	14789062	
146958	15287319	
218804	29807658	
113368	16036102	
80710	15765514	
120365	27137696	
230001	17010688	
87241	15633952	
139027	17493548	
72312	15735189	
100305	14968211	
130163	21980186	
133428	15606426	
132029	17974542	
205274	15318576	
171217	15376426	
162820	17626043	
156755	16232045	
169351	15205675	
168418	20481684	
108702	15372228	
208540	16766225	
134827	23907429	
148824	15978253	
161887	16580545	
183347	21142761	
104503	16366873	
114767	14800259	
81177	17646104	
132961	14762470	
216471	18209674	
100304	16309024	
190811	15624154	
94240	19396532	
187079	15760848	
76045	16580545	
128296	21732923	
101238	15445939	
71846	16548821	
95639	25830006	
113834	16338415	
65781	15941396	
245396	21958259	
122698	25688181	
181480	22986495	
91907	15916203	
115233	15232267	
96105	24198079	
105436	16189125	
104037	14567459	
179148	25328485	
110102	15886812	
100771	15563971	
297181	19469777	
132962	16030037	
101704	33310847	
127363	24147227	
160954	31287964	
350365	34605006	
170284	43054833	
206207	35523141	
232799	34034437	
233266	30300316	
258459	30032060	
102171	26343192	
115234	19468377	
147890	30875083	
93306	20727547	
118500	22370673	
157221	18913671	
110102	15407684	
22860	182414	
20061	160021	
15396	156289	
34990	182880	
20994	286917	
32191	280852	
23327	191279	
54585	278520	
19127	179615	
20994	276187	
27058	257526	
23327	254726	
27059	203407	
38722	271988	
30324	298581	
43854	261258	
27059	162820	
27526	175882	
58783	251461	
26592	249128	
35456	200142	
34056	168418	
24260	181948	
37789	176349	
28925	155355	
47587	331238	
18661	149290	
29858	211805	
39656	478662	
23793	280852	
33123	172617	
28925	175883	
23327	321907	
36389	190812	
130629	196410	
20527	188479	
20528	173083	
43388	218804	
94706	201542	
13529	149291	
27992	208540	
28458	271055	
15395	153488	
15862	174482	
14929	209006	
14929	158621	
19128	174950	
16329	256593	
20994	441806	
38722	173083	
17729	139493	
11663	171218	
43387	322840	
27059	260791	
17728	381156	
24726	239331	
19128	189879	
15396	232799	
23793	288783	
15395	188012	
15395	291583	
18661	247728	
15862	301380	
20527	254726	
29392	181947	
18661	257993	
16796	243063	
17261	256126	
26593	269656	
14462	180548	
17728	154422	
18194	189412	
13996	151623	
35923	177749	
13530	204341	
23793	248661	
31257	270589	
23793	258459	
17729	262658	
17261	252394	
19595	262658	
21927	165152	
20060	208074	
17262	180082	
16329	160487	
23327	195477	
25659	268723	
25659	298114	
32191	409149	
26126	249128	
20994	259392	
27992	381623	
28925	259392	
17262	160487	
17728	256126	
48053	173083	
18195	148357	
11197	185213	
14929	154422	
34524	146491	
63449	1485438	
63448	1608135	
42921	1734099	
53185	1586675	
53184	1988360	
55051	1079555	
40122	1524626	
35923	1373004	
42455	1031969	
22860	1024505	
31257	906938	
21927	929798	
20527	873814	
34056	1293693	
42921	2028947	
40122	1613734	
36390	974585	
32191	1350144	
28925	921867	
58316	1443450	
32191	1689312	
43854	1083287	
80244	1272699	
38722	875214	
62049	881745	
31724	906472	
34990	1665052	
48053	1532557	
39655	844423	
30325	880812	
69514	1225580	
33124	916735	
29858	915802	
29392	1380001	
44320	926065	
34523	995579	
53185	1021238	
29391	913003	
99838	992313	
28925	1560083	
72312	4466110	
112901	892476	
25193	906938	
65314	903672	
27526	926999	
65314	998845	
27059	1421989	
53185	1563815	
34524	1559150	
24260	1543288	
31724	1441584	
52718	1412658	
22860	800568	
63449	1268967	
41521	879412	
21928	918602	
38723	1521827	
19128	1955702	
29858	837425	
23326	892009	
40121	1556351	
44321	1777487	
41054	951725	
36389	1954303	
27992	947060	
23326	1538156	
32191	833226	
44787	1689779	
31257	1544688	
33590	1634728	
33124	1627264	
35923	1644059	
47120	1701442	
36856	1566615	
33590	1402395	
26593	889210	
65781	3073045	
34524	1637528	
35456	1591341	
32657	1596473	
37322	3003533	
29858	1105214	
30325	1111746	
28925	1019839	
27992	1082821	
80710	1667385	
32190	1510631	
31724	922800	
55984	922334	
85376	891076	
14462	845355	
13995	1418724	
20061	919068	
15862	1028703	
41521	1621665	
38722	857019	
27058	1485904	
19594	887811	
24726	876147	
19128	850955	
21460	178682	
20527	140892	
12597	154889	
13063	140426	
10264	158154	
14929	230933	
15396	178682	
23793	243997	
15862	442739	
13996	235132	
14462	243063	
13996	239331	
15396	198276	
7465	143692	
8864	146491	
7464	136227	
24726	265923	
11663	296248	
18662	154422	
16795	155822	
10264	256126	
18195	264524	
9331	165618	
13063	178215	
13063	251461	
13996	258459	
13996	234199	
11197	149756	
13996	156755	
11197	149757	
6998	134828	
6065	345234	
13063	237931	
17728	240264	
11197	139960	
40122	167018	
14929	252860	
31724	256593	
11663	526248	
20994	142759	
15862	142292	
18661	154422	
8397	138560	
7931	234199	
11663	145091	
19594	242597	
13063	254260	
16796	239331	
14929	160953	
8864	153956	
16796	989514	
13063	203874	
12130	219737	
26126	287384	
12596	290649	
17262	262191	
14929	202008	
11663	250994	
11663	179148	
9330	201542	
7465	173083	
8864	172150	
13530	193610	
13063	278053	
19595	194077	
9330	166085	
10730	181948	
15396	166085	
16329	305578	
11663	177282	
15396	257525	
12597	241197	
17262	253793	
15396	245862	
19128	238398	
13063	248661	
17728	163287	
13063	158621	
67181	139960	
13530	163286	
26592	241664	
15396	140426	
17728	228134	
13530	157221	
15395	432009	
13997	237465	
25193	295315	
9330	240264	
14463	162353	
11197	222069	
25193	194544	
6065	133894	
6998	147890	
8397	155355	
14929	141359	
13063	217870	
13996	137627	
6998	132495	
5131	228601	
4199	137160	
