1021909	53550	45517	86126	36146	29898	107100	27221	35254	1679679	96836	98175	
108884	82110	95051	77201	66938	65599	30345	21866	26328	180730	175376	175822	
195903	160203	223124	134321	126734	116025	129858	48194	41948	401177	529250	338703	
65599	25882	26328	27667	24097	25883	28114	38824	33915	1497609	69615	87910	
26775	18296	14280	20973	26329	24990	23205	19188	33022	83448	50426	80771	
18296	91927	12495	20527	21867	19189	22312	19635	22759	81663	68276	68723	
27221	22759	32576	24543	24097	22759	24097	23205	24543	103529	83895	78540	
31238	25436	33022	26775	40609	25882	30345	23651	21866	96390	89250	113347	
90588	68276	72292	62921	61136	63368	34361	33468	30345	292739	345843	164220	
40162	31683	21866	18296	16511	36146	19188	18296	893835	142800	72738	119594	
104422	53996	26329	25437	24990	43732	28114	84787	30791	151278	89249	81217	
34361	33023	25882	26328	26329	25436	25883	23205	23205	75862	71399	84787	
25883	21420	17850	18743	14726	16065	26774	20974	20528	47749	38823	36146	
18742	20527	12048	16065	15172	12495	16065	15173	12942	36146	28560	27668	
20974	16958	37038	15619	11602	12941	26329	25436	19189	53996	40609	37485	
20974	14280	20527	15172	26329	20974	19635	16957	23651	44625	34361	37039	
58012	36146	23652	20973	20081	19635	24543	19189	19635	89249	78093	70953	
30345	21420	22759	26775	25436	21866	25882	23205	21866	69169	53104	50426	
25882	20081	20081	20974	18742	17404	27221	19189	21420	78986	58904	76308	
18742	13834	16511	12049	12942	15173	43286	16957	13387	38377	31684	31684	
