886594	49205	46186	249647	206782	211913	
73355	53733	52224	326926	249043	220970	
189273	158181	144596	505332	378546	271684	
57053	28376	137653	137351	99315	94485	
18112	8754	9056	18112	16301	13886	
13886	9660	8754	29584	22640	22037	
26565	39847	22943	44375	36225	35922	
47696	32903	30187	123466	102334	98108	
52526	49507	59468	162104	144898	143691	
65204	54337	53129	174179	161501	158482	
82109	11773	10264	55544	42866	54337	
70034	35318	36225	271684	223083	241497	
42564	24452	19319	120447	136144	111693	
33206	20225	18112	94485	85128	111089	
