2687308	1533310	2843049	3309379	1087508	1532417	1963493	1675663	4406704	7042693	36822193	6606708	243652	334686	329332	531928	386898	464098	510508	561380	1049577	1927347	2455259	2272743	
1176311	2908201	1956800	2994774	61582	55781	62474	88804	92820	83449	96390	139675	169128	805033	535052	315944	950509	183854	175375	2243291	154402	95497	61136	125842	
5016529937	2954162249	3652283632	3118652562	71400	88804	108885	177607	136106	118256	149493	149939	377527	833592	599312	932213	176269	228479	285153	386451	208398	400731	284260	340041	
158418	201258	239189	487750	274443	126735	172698	58904	24544	36146	41055	54889	31238	20081	22312	30345	14280	20973	22759	26329	12048	18296	23651	20973	
12941	20974	33023	36592	20081	29899	21420	34807	45071	67383	80771	188763	236958	1620774	1328928	3587838	27667	37931	41501	45518	135660	359677	421705	493105	
1944589326	3421345582	2487350641	1049506360	101744	147262	237404	7486264	149494	234280	322638	308804	487749	1518584	1231645	1973310	137445	135659	157080	228479	176268	230710	267303	369493	
500691	799231	871523	1228522	589048	904545	1008075	2553434	16512	18296	27222	49087	24098	31237	37038	74523	63367	97728	132536	179838	61136	85680	74970	85680	
16065	22312	23205	37485	2582987491	4897698429	2787872216	2606706490	38378	56674	67383	321299	153063	265518	241420	231157	387344	567182	730063	1277163	284261	320406	398500	485964	
175822	356999	359676	559595	121379	290954	468561	1042437	23651	121826	40608	48641	8925	14726	13388	20973	13833	142799	19189	53550	15619	31237	24098	41501	
15619	93266	20081	31237	24543	29899	25882	42393	20973	25882	25883	38377	46856	74077	90142	131197	88803	145477	187871	413226	12048	25882	22759	44625	
90142	103976	119595	160203	1278926273	1654019984	1359164426	528675481	84787	170467	162434	264179	139229	340041	262841	299879	468561	1565440	1392296	2291932	80771	107100	120040	204382	
127627	215092	210630	289615	401178	649292	768440	1502072	487304	829130	871970	2223657	22313	24543	26329	44625	25436	33022	33023	56228	60244	89249	118702	170913	
55335	87911	101298	122718	21420	28560	31238	51319	2410594563	2232939921	2289231935	2645346700	29006	39716	43286	78539	61136	99067	130751	134767	424828	536837	596188	871523	
115578	187871	233388	362354	123611	230264	249899	411441	99513	257931	230264	290954	17850	23651	38378	31684	6694	11156	12049	14280	7586	11602	11603	12942	
8032	12048	11156	12941	7140	9817	11603	11603	6694	12049	12495	13833	9818	18296	16511	17403	29006	36592	54888	68723	87019	150832	150386	230710	
8478	12495	12941	15619	58905	107992	95498	122273	1377433393	1648215185	1675703644	579170282	56227	71399	91480	122272	82110	131197	153063	154848	278906	809049	1432011	2206252	
87911	106208	106654	153956	99067	141461	174929	213753	311928	471684	504707	874647	377080	588602	644829	1119638	10264	13387	24544	27222	24544	31683	24098	45071	
34808	60244	64706	84788	36592	58904	62475	112455	17404	25436	30791	36147	2378523578	3056454448	2460387862	1671858321	35254	42393	63813	63814	53996	94158	94159	264625	
445802	555579	607344	935783	119148	207952	231157	330670	102191	218216	221785	284260	98175	227587	207059	325315	16512	36592	32576	27668	6247	8479	8925	10264	
5801	20974	8924	10710	6247	9371	12495	13388	5801	10263	8925	10264	6248	9817	11156	10710	6247	9371	9818	11603	21867	30345	43732	44178	
73185	175376	298540	1142396	20973	15619	14280	21866	58905	103084	247668	195903	1261826031	1511286963	1485064956	701838186	61583	66938	81217	115578	80771	129858	273551	165112	
249453	722030	892943	1198177	58904	78540	82556	125396	100406	145923	158419	217769	311928	523896	535052	977731	396715	609130	995134	1711363	15173	24098	13833	17404	
12049	16065	18297	29453	30345	50873	58012	81664	29899	51319	71846	62921	9371	14726	16065	18296	2036294281	2428441825	2428940284	1863905817	28114	46856	55335	94605	
56674	102637	103976	151724	428399	604667	1016108	1328035	145923	198581	208845	342273	107546	225802	226248	334240	110670	229818	291400	374849	19635	27221	37485	32576	
7139	9817	10710	13387	7586	10264	10710	12049	8033	11603	12049	13833	6693	10264	11156	12495	8033	11602	12941	14280	8033	11603	16958	21866	
39716	63367	50873	60243	95497	121826	194564	257485	8925	11602	12495	14280	53996	93713	155294	183854	1195048516	1362324758	1584257960	648769425	55781	162434	133874	171359	
92820	145923	178945	166004	284706	945155	954972	9422983	95051	265964	180285	233388	154402	285153	265518	323530	1353472	619839	538175	1668523	1303938	1102680	1070996	1343208	
11156	15173	14726	19189	14280	18297	24097	30345	33022	54888	61583	74970	33469	55334	59351	65599	12495	19635	17850	19189	2107996148	2348313448	2477249360	2491703348	
28114	37039	39270	50873	65598	87911	94604	155741	373956	510508	583247	861706	170467	210629	268642	270873	118702	211522	189209	305680	107100	274889	235173	272211	
18297	21420	33023	36592	6694	9818	9371	10264	6247	9817	10264	11603	7140	10710	11603	13387	6247	8478	8925	23205	6693	9817	10264	11602	
6694	9371	10263	10710	26328	33023	48195	51765	81663	137444	136998	213753	7140	10264	13834	13387	55334	95498	90589	114240	1197714405	1542718028	1343403376	840642883	
