RANDOM	SIMILARITY
5201831	61133411	
1718237	32304071	
1029636	26220494	
949859	30186482	
464200	37649127	
420812	34068028	
264524	28952972	
438073	36186082	
293449	24946395	
445538	18822231	
202008	19639128	
234666	28148671	
471663	29786664	
263124	27869218	
239798	16226447	
214605	17808924	
708662	25802948	
424077	23984406	
537445	19317222	
289250	19311623	
346633	27495992	
320041	17815455	
202942	32100196	
220203	20173774	
400284	24689803	
277586	26022685	
361095	18783042	
348966	20924890	
256126	15845290	
282252	25458648	
225335	15474865	
165153	25523962	
518317	19569149	
317708	18064583	
538377	16612269	
362495	16274499	
530447	21409617	
358296	27089643	
362495	22136008	
195943	16626732	
183814	18566105	
216471	17089531	
197810	20261482	
220669	16137340	
190811	16083221	
997445	18493326	
297181	16576346	
209006	24775645	
255659	16126143	
222069	19829007	
206207	23873838	
267322	29673297	
362029	25582745	
309310	21044789	
203408	17799126	
715194	16108414	
520649	18764847	
210872	17265881	
334036	20387446	
213205	15947927	
173084	17723548	
289250	18176551	
265923	20621645	
193144	17228557	
302779	27857554	
225801	16141072	
184746	15282187	
494990	23851912	
220670	15739855	
428277	17213629	
202942	16114946	
208540	18372028	
207607	16436853	
362029	22974832	
396086	15572370	
255193	15705797	
435274	26425302	
207607	17228558	
287850	25882725	
153956	16066894	
253326	23386779	
225335	15952593	
216937	23734345	
179615	16935576	
348500	16811012	
439473	15693667	
198742	16449449	
207606	17239754	
177748	15563972	
236532	17261681	
201541	16477441	
179149	19736167	
196410	15785574	
212738	18341703	
325639	18032859	
204341	15343302	
379757	20250286	
297180	16858598	
313976	16767158	
227201	16003445	
38722	176349	
39655	294848	
27525	250527	
34057	208073	
28459	169351	
30325	188946	
42455	288317	
34990	189412	
33124	156755	
34523	180548	
37322	255193	
28458	265456	
30791	266856	
36856	273388	
34524	317242	
48986	282719	
30325	279919	
40122	175883	
37323	211339	
30791	283185	
133895	294381	
38722	193145	
47586	240264	
47120	155822	
46187	305111	
65781	217870	
49918	163286	
64382	288783	
127829	389088	
30325	349899	
26125	464666	
26593	171217	
37789	158621	
22394	194077	
37322	150690	
20528	150223	
17728	172150	
29858	163753	
22860	195943	
27992	185213	
31257	209007	
22860	162353	
269189	142758	
15862	148357	
14929	152556	
33124	153023	
15862	336836	
31258	566836	
29392	308844	
46653	337302	
24727	318641	
32191	479595	
41988	261725	
22393	258926	
21460	179148	
27525	271522	
27526	176349	
22394	151156	
21461	356431	
34990	188012	
18195	318642	
26126	329838	
37323	379757	
36856	264524	
33591	160954	
25659	411947	
27059	191745	
17728	187546	
23327	282719	
23327	157221	
37789	153023	
17729	261724	
17262	141359	
16795	284118	
44787	1109880	
26593	1858664	
37789	302312	
29858	243529	
27992	237931	
25193	306512	
36856	280853	
29392	521116	
27059	290649	
36389	356897	
27992	285517	
22860	189878	
15862	259391	
30791	319575	
27526	325640	
27058	272921	
26126	273387	
52252	298114	
35923	253793	
24726	270589	
24260	244929	
37789	267790	
22393	233733	
19594	209473	
21460	183347	
27059	145092	
66248	876147	
91907	4390999	
68114	867749	
78377	863551	
35923	1186391	
137160	1155599	
125030	996046	
64848	1594606	
50385	1323551	
52252	1388865	
47587	1283429	
102637	1606270	
75578	1743896	
115700	1667385	
94706	1645925	
80710	1137871	
177748	1058561	
75111	1735498	
101238	1779352	
95639	1759758	
119899	1688379	
51785	980650	
41055	1277831	
93306	2125053	
52252	1975297	
53184	866350	
46654	957790	
69513	1528825	
110102	1533024	
76045	1537690	
85376	1916513	
66248	1592740	
61582	1087952	
61115	829960	
69047	1482172	
51319	1520895	
72779	1980428	
44321	865416	
61582	1510630	
44787	1194788	
53652	1525560	
58316	1753227	
46653	1419656	
48519	871482	
43854	878480	
49919	928865	
56916	878946	
51318	1031969	
41055	1017040	
58316	958256	
104969	1533024	
136227	1535357	
144625	1497567	
114300	1037567	
32657	997912	
42454	837891	
36389	892009	
64382	1554951	
61582	2453491	
64381	2100326	
61582	868215	
56917	1278764	
62981	3024526	
60650	1310021	
46654	870082	
44787	1868461	
42921	820630	
85841	912070	
62982	884078	
62515	2887366	
51785	897608	
34524	1328683	
57384	1224646	
73712	1203186	
57383	3217671	
57383	954991	
28459	886411	
62515	814565	
59249	1505965	
49453	1581076	
82576	979251	
36856	894341	
139960	888743	
37323	873347	
34523	922334	
41055	1023105	
63448	907405	
43854	872881	
65781	862151	
64382	1269433	
57850	1022171	
49452	1920245	
37322	882678	
38722	856086	
32190	898074	
46653	1533491	
55051	900407	
31258	1320751	
29392	885011	
47587	852353	
33123	360629	
33123	330304	
21927	339169	
31724	344301	
29392	314909	
23793	234199	
24726	350832	
29858	387688	
32191	172617	
21927	162820	
17261	274788	
21461	173083	
23327	140893	
23793	155355	
20527	181947	
28458	174483	
19594	226268	
18195	139027	
19128	442272	
36856	142759	
15862	141359	
10731	141826	
12130	160487	
11196	137160	
36856	141825	
22860	141360	
23793	142292	
13063	139026	
32657	240730	
47119	278520	
24259	193611	
19128	179615	
19594	166085	
18195	258926	
27992	276187	
37323	230000	
38255	253327	
27059	257992	
22860	257059	
25193	277586	
18661	248195	
26592	270589	
28459	160487	
16795	219270	
32657	260324	
22394	236065	
14463	160021	
20994	240264	
17728	174483	
20528	294849	
13063	151157	
13530	156288	
18195	172150	
24260	141359	
29392	264057	
38256	139959	
21460	139493	
27525	154888	
32190	163753	
20994	179614	
18195	467931	
25659	236065	
22860	265923	
18661	141826	
21927	177748	
18195	146958	
12597	173083	
16329	142292	
9797	158154	
13996	138560	
13062	249594	
16796	250994	
22394	171217	
24259	254260	
20527	227668	
13996	238398	
16795	225335	
16329	236065	
19594	144625	
12130	142759	
24260	145092	
13529	139026	
23327	139494	
13062	138560	
20527	153955	
13996	140892	
60183	656410	
48520	515517	
55517	525315	
45254	641015	
47120	342434	
27991	374158	
32191	362029	
27526	201542	
17728	199675	
18195	199209	
25192	397952	
35456	214139	
31725	212739	
20061	216937	
