RANDOM	SIMILARITY
0.67	0.80	
0.63	0.79	
0.68	0.78	
0.71	0.80	
0.61	0.79	
0.70	0.78	
0.67	0.80	
0.72	0.78	
0.67	0.79	
0.69	0.78	
0.60	0.79	
0.65	0.78	
0.68	0.79	
0.65	0.78	
0.64	0.78	
0.66	0.78	
0.65	0.80	
0.69	0.79	
0.79	0.79	
0.71	0.79	
0.65	0.78	
0.69	0.78	
0.74	0.79	
0.60	0.78	
0.72	0.79	
0.71	0.79	
0.68	0.79	
0.65	0.79	
0.66	0.78	
0.69	0.79	
0.63	0.79	
0.73	0.79	
0.65	0.78	
0.73	0.79	
0.70	0.80	
0.62	0.80	
0.65	0.79	
0.70	0.80	
0.64	0.79	
0.69	0.80	
0.65	0.78	
0.64	0.80	
0.68	0.80	
0.64	0.78	
0.61	0.80	
0.73	0.80	
0.69	0.79	
0.66	0.80	
0.74	0.79	
0.70	0.79	
0.69	0.78	
0.65	0.80	
0.72	0.79	
0.69	0.79	
0.64	0.77	
0.71	0.80	
0.66	0.78	
0.63	0.79	
0.62	0.79	
0.68	0.79	
0.68	0.79	
0.70	0.79	
0.72	0.80	
0.70	0.79	
0.76	0.78	
0.65	0.78	
0.65	0.78	
0.70	0.81	
0.71	0.81	
0.72	0.79	
0.61	0.80	
0.74	0.77	
0.64	0.78	
0.71	0.78	
0.68	0.79	
0.68	0.78	
0.69	0.79	
0.71	0.81	
0.64	0.79	
0.68	0.78	
0.62	0.80	
0.64	0.78	
0.70	0.79	
0.66	0.80	
0.66	0.78	
0.66	0.79	
0.72	0.80	
0.76	0.80	
0.70	0.79	
0.68	0.79	
0.63	0.78	
0.66	0.78	
0.64	0.78	
0.66	0.79	
0.65	0.79	
0.75	0.78	
0.64	0.80	
0.64	0.79	
0.64	0.80	
0.71	0.78	
0.72	0.74	
0.67	0.74	
0.69	0.74	
0.63	0.73	
0.69	0.74	
0.49	0.74	
0.62	0.74	
0.63	0.74	
0.74	0.73	
0.73	0.74	
0.54	0.74	
0.60	0.73	
0.50	0.73	
0.63	0.73	
0.60	0.73	
0.62	0.73	
0.62	0.74	
0.55	0.73	
0.72	0.73	
0.53	0.74	
0.69	0.73	
0.69	0.74	
0.76	0.74	
0.58	0.73	
0.64	0.73	
0.72	0.73	
0.60	0.73	
0.64	0.74	
0.53	0.73	
0.62	0.74	
0.56	0.73	
0.64	0.74	
0.58	0.74	
0.53	0.73	
0.58	0.74	
0.67	0.74	
0.60	0.74	
0.56	0.74	
0.54	0.74	
0.64	0.73	
0.63	0.73	
0.53	0.74	
0.58	0.73	
0.49	0.74	
0.64	0.73	
0.51	0.74	
0.73	0.74	
0.63	0.73	
0.73	0.73	
0.69	0.73	
0.72	0.74	
0.53	0.74	
0.58	0.74	
0.58	0.74	
0.65	0.73	
0.65	0.74	
0.64	0.74	
0.64	0.74	
0.68	0.73	
0.60	0.73	
0.73	0.73	
0.64	0.74	
0.63	0.73	
0.51	0.73	
0.56	0.74	
0.58	0.74	
0.60	0.73	
0.53	0.74	
0.67	0.74	
0.64	0.73	
0.71	0.74	
0.72	0.74	
0.53	0.73	
0.59	0.73	
0.55	0.74	
0.67	0.74	
0.63	0.73	
0.62	0.74	
0.51	0.73	
0.69	0.73	
0.64	0.74	
0.58	0.74	
0.67	0.73	
0.63	0.74	
0.58	0.73	
0.63	0.74	
0.59	0.74	
0.62	0.73	
0.60	0.73	
0.67	0.73	
0.60	0.74	
0.67	0.74	
0.50	0.74	
0.56	0.73	
0.54	0.74	
0.56	0.73	
0.55	0.73	
0.63	0.73	
0.72	0.74	
0.51	0.74	
0.61	0.84	
0.61	0.83	
0.68	0.83	
0.51	0.83	
0.62	0.83	
0.61	0.84	
0.62	0.83	
0.64	0.83	
0.58	0.83	
0.59	0.84	
0.59	0.83	
0.67	0.84	
0.48	0.83	
0.55	0.83	
0.56	0.83	
0.48	0.83	
0.68	0.83	
0.68	0.83	
0.48	0.83	
0.62	0.84	
0.65	0.84	
0.57	0.83	
0.62	0.84	
0.59	0.83	
0.69	0.83	
0.54	0.84	
0.72	0.83	
0.56	0.84	
0.65	0.83	
0.46	0.83	
0.63	0.84	
0.63	0.83	
0.56	0.84	
0.56	0.84	
0.70	0.83	
0.64	0.83	
0.68	0.84	
0.55	0.83	
0.64	0.83	
0.54	0.84	
0.59	0.83	
0.66	0.83	
0.54	0.84	
0.67	0.83	
0.47	0.83	
0.65	0.83	
0.67	0.84	
0.65	0.83	
0.52	0.83	
0.57	0.83	
0.54	0.84	
0.52	0.84	
0.64	0.84	
0.52	0.84	
0.61	0.83	
0.62	0.84	
0.56	0.83	
0.51	0.83	
0.60	0.83	
0.59	0.84	
0.62	0.84	
0.66	0.84	
0.69	0.84	
0.69	0.83	
0.59	0.83	
0.47	0.83	
0.61	0.83	
0.52	0.84	
0.51	0.84	
0.62	0.83	
0.64	0.83	
0.75	0.83	
0.57	0.84	
0.45	0.83	
0.56	0.83	
0.75	0.83	
0.62	0.84	
0.58	0.83	
0.58	0.84	
0.59	0.84	
0.64	0.84	
0.56	0.83	
0.58	0.83	
0.52	0.83	
0.71	0.84	
0.68	0.84	
0.60	0.84	
0.66	0.83	
0.59	0.83	
0.62	0.83	
0.67	0.83	
0.67	0.83	
0.55	0.84	
0.48	0.83	
0.49	0.84	
0.72	0.84	
0.48	0.83	
0.59	0.83	
0.65	0.83	
0.55	0.84	
0.67	0.76	
0.60	0.76	
0.76	0.76	
0.72	0.76	
0.66	0.76	
0.69	0.76	
0.67	0.76	
0.62	0.76	
0.62	0.76	
0.64	0.76	
0.66	0.76	
0.60	0.76	
0.71	0.76	
0.66	0.76	
0.62	0.76	
0.67	0.76	
0.71	0.76	
0.71	0.76	
0.50	0.76	
0.53	0.76	
0.62	0.76	
0.78	0.76	
0.62	0.76	
0.52	0.76	
0.71	0.76	
0.69	0.76	
0.67	0.76	
0.47	0.76	
0.71	0.76	
0.67	0.76	
0.66	0.76	
0.59	0.76	
0.64	0.76	
0.60	0.76	
0.64	0.76	
0.53	0.76	
0.48	0.76	
0.66	0.76	
0.66	0.76	
0.67	0.76	
0.74	0.76	
0.66	0.76	
0.69	0.76	
0.62	0.76	
0.69	0.76	
0.69	0.76	
0.72	0.76	
0.59	0.76	
0.71	0.76	
0.67	0.76	
0.67	0.76	
