G	GE	GRE	H
5311242	851441	1218703	1016552	
1338744	1070103	2640003	1116512	
6457653	2831889	5836030	8706296	
14332143	13194658	4026048	3968036	
3503492	7503658	5698139	7516153	
10093234	10572058	7234571	6284955	
263286	6257287	540406	418581	
502475	453388	614930	567628	
346734	277120	696147	463652	
1254849	487749	548439	524787	
231602	231156	389129	1292333	
433307	559149	594402	642597	
208844	232495	327546	291400	
2251766	564950	618500	587709	
311481	292292	634118	663124	
689006	690345	1116958	1176309	
3128198	3136230	7444307	6942724	
6986457	3871646	3149618	3167021	
213753	204827	614483	493550	
661785	753266	630102	613145	
391805	335578	507830	549331	
921502	573874	1430224	2081300	
1203530	180284	441339	449818	
500690	390467	391360	283368	
245883	216430	313266	325315	
467668	361014	355660	349858	
101744	104869	133428	99067	
124503	106653	127180	116470	
126734	123611	207952	192779	
199026	250791	728277	1023693	
240527	225801	436876	254808	
1209778	313266	609128	810832	
556917	563165	1078134	1028601	
974605	1088845	1289211	1137486	
241420	147708	322191	345396	
341826	300325	546654	287383	
111562	105315	236512	285598	
315497	281583	352089	362353	
78986	73631	138337	136552	
144585	137444	164220	173590	
