BIGGEST	SMALLEST	RANDOM	SIMILARITY
11020884	6115301	544910	41453695	
99371	43854	135760	369493	
246796	226734	73712	1747162	
116633	94239	74645	220203	
9913804	775376	270588	6675139	
52251	29392	20528	114767	
79777	90973	44788	451603	
48986	38722	38256	160487	
1733166	879880	236999	5780797	
54585	76978	19594	177282	
79777	112901	59716	830427	
45720	24726	23327	88174	
1058561	600426	243063	6148891	
50852	37322	55518	197343	
118033	141359	54117	463267	
26593	26126	28458	103570	
1747629	701665	80710	6809034	
26592	17262	794038	104969	
56916	60183	26593	439007	
42455	26126	26126	176349	
