1069657	45963	40608	78986	258378	36146	116024	27668	23205	2239275	108438	120041	
106207	101299	88357	74970	78539	53996	41502	32130	39270	170021	166897	187871	
165112	1303492	95944	70061	64260	61136	48641	47302	41947	377973	365031	321298	
29899	26775	24098	24097	32129	26328	29452	24098	25436	106207	95497	113347	
20528	22759	18296	21420	20974	21866	22313	18742	28114	62029	49980	105761	
17849	12049	10710	17403	17403	19635	32130	25436	21420	99514	278905	1119191	
31684	20081	69168	18742	14726	15618	19189	14280	16958	100406	229818	79878	
28560	24544	30791	26329	279798	17404	20527	15619	16065	100853	111562	119148	
88357	77648	82110	67830	70061	75862	46856	40163	40609	354322	288277	296309	
38823	45964	20081	18296	18296	17404	40608	20081	1131686	167343	93713	147708	
38378	37931	31684	29898	30791	47749	33915	37485	33915	163774	101298	94158	
36592	49979	28560	27667	24990	26329	25883	23205	27668	81218	67829	97728	
24097	20973	18742	18742	21420	16511	37038	27668	26775	61582	49533	48195	
25883	19189	20528	23205	24098	17850	24544	15618	14280	41501	39716	31684	
23651	22312	20527	18297	12941	10264	16065	23205	23205	45518	30791	29452	
16511	13834	16957	11157	22759	21867	23204	24543	31237	75862	53550	49980	
111116	72739	28560	28560	29899	58459	32576	22313	24098	195903	87911	86572	
29899	23651	28114	24544	22312	22759	26329	20081	20974	83448	66491	65599	
26775	26775	23651	63368	29452	24543	31684	21866	34361	84787	69615	88803	
21866	13388	23651	23651	16511	24097	65598	18296	19189	46856	35253	33022	
