921315	47696	44073	258101	131012	132220	
76978	52526	121957	259309	244517	216744	
198029	147616	165426	492053	392132	268667	
38036	107466	66714	149125	113806	109277	
15093	9660	9056	19319	16603	15094	
14188	10867	15698	31092	23244	22339	
30489	43771	24451	45583	45885	35621	
38942	32301	30490	108976	124976	101429	
54337	54035	52827	249649	148521	143993	
69733	59771	74865	173577	165125	170558	
94184	11169	10263	58261	44074	56451	
665629	38338	51016	247536	200745	203462	
35018	25961	20226	115617	215235	126787	
31697	22037	19924	92071	82411	94788	
