BIGGEST	SMALLEST	RANDOM	SIMILARITY
45056721	20308135	1519494	45740657	
12672873	2727812	508053	24383292	
6987715	4946172	522982	24574569	
9517718	2362517	314909	19949372	
5473352	2328461	573368	19187526	
73712	45254	42455	275720	
55517	851421	36389	312110	
67180	57850	70913	485193	
133429	60183	84443	534179	
61582	45721	30324	327505	
252860	305112	73245	2122721	
253327	460001	44787	1029636	
469331	230467	52718	1039900	
306512	317241	58783	2043410	
466998	259859	47120	1304424	
89574	50852	26126	198276	
55051	87242	23326	191745	
50385	35923	26126	220203	
50852	39656	21461	177749	
51785	68580	28458	299047	
