BIGGEST	SMALLEST	RANDOM	SIMILARITY
30345103	5730412	4213250	3061382	
2943816	2946149	16217583	1909982	
1829739	1699109	1647324	2927954	
1171928	701664	1052962	789372	
822496	272921	26420170	18649614	
6949460	5521406	5304935	5306801	
98438	35456	39655	39655	
33590	41988	68114	35923	
59716	38722	33123	35457	
31258	25659	26126	24726	
22860	23793	314909	218337	
114300	103104	101238	105902	
157221	148357	149290	155355	
155355	153956	279453	154888	
156755	150690	146024	151623	
44321	54585	48519	61582	
57383	40121	479595	564504	
561238	500122	411015	409615	
38722	26126	57383	28459	
26592	25659	22860	33124	
23327	25193	21927	21927	
23326	23794	21927	22861	
21927	27525	84909	74646	
85842	126897	84442	76512	
