BIGGEST	SMALLEST	RANDOM	SIMILARITY
38378783	8930354	1418724	40036837	
134828	51318	43854	304645	
231867	230000	66248	3221403	
105436	85842	63448	657810	
16423324	1686980	213672	34533160	
68580	53651	41055	411482	
181481	179149	181948	2023349	
59716	41055	35457	331704	
3305845	1047831	151156	26108060	
48053	116167	56450	306979	
82110	82576	44787	1095884	
28925	17262	23327	178215	
1865662	832760	168418	20605782	
30325	20528	22393	222069	
218337	81177	35923	1840935	
55984	28925	43388	340102	
2767467	670873	115700	18564239	
46187	20061	60182	873347	
172150	112901	32190	1142536	
42921	33124	23326	323307	
