3814532	6625005	4257211	2549417	
1272255	2386537	2132175	4012667	
4574939	11284285	10722905	25246062	
195011	382881	513632	454281	
411887	1091078	560042	799231	
214646	515417	581462	816635	
94605	251238	388682	377080	
213753	500691	675174	820651	
1735906	5290276	5491534	12438284	
392252	1757326	543531	588602	
310142	868400	624302	1345440	
805924	269535	245436	472577	
283368	899191	461867	4020252	
213753	410995	500244	625194	
424828	3583375	1063410	1582397	
431077	907223	1112051	1980450	
434200	1332498	1410591	1332944	
227140	494889	397607	1826049	
388682	711767	860814	1046006	
557810	1249050	1047792	1365967	
