BIGGEST	SMALLEST	RANDOM	SIMILARITY
5394509	900874	1857264	69600500	
876146	971320	459067	34170665	
660609	345233	80243	21445074	
359696	370893	259391	35772735	
630751	488926	231400	31823543	
643347	205740	88641	42671810	
883145	344300	153489	41878239	
880345	349433	286451	50401778	
888277	547709	292982	32532205	
492658	400751	218804	42219274	
741786	422211	165618	32822388	
530446	373225	165152	27741855	
311644	152089	226268	22569882	
395619	161887	114767	18561906	
573368	169351	129696	29712486	
576633	295314	177749	34159935	
349432	168418	115234	16519429	
303712	266857	97972	25241244	
499189	150690	151156	16808679	
308845	305112	126896	21358765	
349899	189412	132962	25533759	
533713	303712	76512	18655213	
281786	157221	158155	25915848	
292516	274788	73712	20395376	
312577	236998	93773	22657123	
296714	160021	118499	17557929	
295781	149290	109635	15717928	
308844	173550	97039	15905473	
299514	175416	73245	19518763	
544442	282252	104036	17298537	
311177	279453	102170	23120856	
284584	157688	85842	16620667	
525781	309778	92840	22028238	
259858	149756	86775	21065783	
282719	150223	59249	15465534	
286450	270588	121299	16850201	
271988	163753	127363	15482795	
696066	380224	46653	19583145	
303246	148357	132029	17856976	
520650	150224	59716	14777399	
303713	174482	77445	21390023	
303246	278053	52251	27998914	
303712	153489	49453	15493992	
289250	150223	85842	21503390	
509453	258925	129229	16125677	
290650	168885	113368	18106104	
301846	183347	84909	19325152	
301379	144158	66248	16105149	
298581	275254	64848	17573791	
289250	160021	133428	33808636	
315376	294382	101237	17159511	
293915	284584	57850	19292961	
299980	259392	89108	20888967	
376024	191279	117100	18142028	
355964	346167	118966	18219005	
305112	196876	93306	19999290	
306512	215071	94706	21767447	
347100	167018	60183	16875860	
374159	221136	76511	16834339	
285518	202009	46187	20333794	
512252	224402	145558	21242132	
350366	179149	180547	26111792	
879413	745985	295781	34518231	
282251	134361	54118	17939552	
285051	173549	75112	23202965	
400284	159554	83509	18825963	
284585	147891	63915	23390512	
265923	123631	112901	23069071	
528581	175883	83510	21314911	
251927	104036	155822	23622844	
266856	101237	77910	16339815	
264057	163753	122231	20014220	
275720	161420	69513	21789840	
276654	204808	59716	16395332	
247728	143225	92840	23006555	
580365	104037	75111	16029104	
269655	124564	116166	17232756	
261724	127363	113368	31364009	
283185	164219	80710	18929999	
262657	111034	62982	20404241	
275254	112900	88174	16524094	
432475	132495	99838	17270079	
285984	105903	90041	16605738	
487526	109169	75112	15456670	
270589	140893	92374	26750940	
290649	131096	118499	20421502	
287850	104036	50386	15240199	
247729	113834	89107	16572148	
451136	114767	76978	15261659	
529981	142292	122231	24208341	
261258	111034	61115	22060896	
259391	138560	152090	18929067	
272921	135760	73712	19288763	
259392	114767	83975	17840181	
352698	132962	63915	19200588	
276654	111501	132961	29743743	
699798	119432	55050	16392533	
264057	176349	65314	21561240	
255193	131095	78378	17904096	
244929	105903	74178	17174906	
14929	9331	12596	175882	
11197	8397	15395	375559	
10730	11197	14463	272921	
8397	6998	29391	276654	
11663	8865	21927	262191	
8397	7931	15862	303712	
10264	10730	23793	293448	
9331	9798	23327	257526	
21927	9797	25659	170284	
13529	8398	29858	267789	
10264	6065	12596	177749	
23793	14930	14929	177748	
10263	9331	17262	153956	
9797	10730	22394	438073	
15396	11663	35923	425010	
13529	16329	25192	297647	
12130	12130	33591	457201	
12596	18195	15395	251927	
8397	8397	13996	250061	
8397	10730	14463	252860	
6998	11196	23793	216004	
13063	15395	21460	250061	
10264	8864	15396	206207	
9330	8397	21927	155822	
11664	15396	13530	153022	
45720	10730	13063	153955	
6532	7931	13063	584565	
48986	47587	72313	1252171	
30325	27525	44320	1133206	
14929	11196	23793	299980	
16795	11663	24259	320507	
13063	13996	19594	188945	
9797	13529	17728	180548	
6998	11197	18195	242130	
14463	22860	21927	337303	
13529	12130	19128	324706	
14463	12596	17728	254726	
11196	9331	25659	275720	
13529	22860	24726	167018	
12597	12597	23327	261258	
11197	15862	21461	640549	
14462	10264	20061	170751	
9797	8864	15396	150224	
8864	7465	22394	146491	
13996	6532	16795	185213	
21927	6531	12596	156755	
13063	25659	42454	734321	
25193	23793	41988	770244	
25193	10264	17261	228601	
10730	41055	21461	282719	
11197	11197	15862	170750	
7931	6065	20061	173083	
7931	6065	13063	269655	
8864	13996	21927	271055	
11663	9331	16328	170751	
7931	6998	17261	201541	
11664	7932	19128	280852	
9797	6532	19128	169818	
11663	9797	20061	169351	
8398	19128	20061	184746	
19128	14462	51786	276654	
12596	9330	20528	207606	
12130	12130	19595	233266	
14929	11663	21927	259392	
16795	15862	24726	200142	
10731	9797	18661	274787	
13529	11664	28458	1966432	
15863	12130	39656	305578	
14462	19128	26126	276187	
16329	13529	27059	303246	
16795	13063	24727	318641	
18661	11197	27992	293916	
19594	12597	20527	229534	
16329	15862	20061	169817	
12130	7465	14462	165619	
11197	9331	18661	252393	
