BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.31	0.02	0.24	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.33	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.16	0.16	
0.31	0.02	0.20	0.16	
0.31	0.02	0.28	0.16	
0.31	0.02	0.28	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.19	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.17	0.16	
0.31	0.02	0.30	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.28	0.16	
0.31	0.02	0.33	0.16	
0.31	0.02	0.22	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.21	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.21	0.16	
0.31	0.02	0.21	0.16	
0.31	0.02	0.30	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.25	0.16	
0.31	0.02	0.22	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.28	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.29	0.16	
0.31	0.02	0.25	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.30	0.16	
0.31	0.02	0.28	0.16	
0.31	0.02	0.25	0.16	
0.31	0.02	0.28	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.25	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.14	0.16	
0.31	0.02	0.14	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.25	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.30	0.16	
0.31	0.02	0.25	0.16	
0.31	0.02	0.18	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.28	0.16	
0.31	0.02	0.29	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.22	0.16	
0.31	0.02	0.29	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.30	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.33	0.16	
0.31	0.02	0.29	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.21	0.16	
0.31	0.02	0.29	0.16	
0.31	0.02	0.25	0.16	
0.31	0.02	0.29	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.32	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.22	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.32	0.16	
0.31	0.02	0.35	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.24	0.16	
0.31	0.02	0.29	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.23	0.16	
0.31	0.02	0.26	0.16	
0.31	0.02	0.27	0.16	
0.31	0.02	0.22	0.16	
0.29	0.08	0.23	0.17	
0.29	0.08	0.13	0.17	
0.29	0.08	0.21	0.29	
0.29	0.08	0.15	0.17	
0.29	0.08	0.15	0.17	
0.29	0.08	0.17	0.17	
0.29	0.08	0.15	0.17	
0.29	0.08	0.19	0.17	
0.29	0.08	0.23	0.17	
0.29	0.08	0.23	0.29	
0.29	0.08	0.14	0.17	
0.29	0.08	0.15	0.17	
0.29	0.08	0.13	0.17	
0.29	0.08	0.10	0.17	
