BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.2	0.8	0.0	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.4	0.6	
0.2	0.8	0.8	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.2	0.8	0.6	0.6	
0.14	0.85	0.71	0.57	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	1.0	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.85	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.28	0.57	
0.14	0.85	0.71	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.42	0.57	
0.14	0.85	0.42	0.42	
0.14	0.85	0.85	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.42	0.57	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.28	0.57	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.42	0.57	
0.14	0.85	1.0	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.71	0.57	
0.14	0.85	0.28	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.42	0.57	
0.14	0.85	0.42	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.14	0.57	
0.14	0.85	0.28	0.42	
0.14	0.85	0.28	0.57	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.57	
0.14	0.85	0.42	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.42	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.14	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.57	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.71	0.42	
0.14	0.85	0.28	0.42	
0.14	0.85	0.42	0.42	
0.0	0.5	0.5	0.0	
0.0	0.5	0.0	0.0	
0.0	0.5	0.5	0.0	
