BIGGEST	SMALLEST	RANDOM	SIMILARITY
0,70	0,52	0,60	0,80	
0,70	0,52	0,62	0,79	
0,70	0,52	0,74	0,80	
0,70	0,52	0,69	0,80	
0,70	0,52	0,63	0,79	
0,70	0,52	0,69	0,78	
0,70	0,52	0,59	0,79	
0,70	0,52	0,70	0,79	
0,70	0,52	0,70	0,77	
0,70	0,52	0,66	0,79	
0,70	0,52	0,58	0,79	
0,70	0,52	0,63	0,79	
0,70	0,52	0,69	0,79	
0,70	0,52	0,69	0,78	
0,70	0,52	0,73	0,79	
0,70	0,52	0,62	0,80	
0,70	0,52	0,61	0,79	
0,70	0,52	0,71	0,79	
0,70	0,52	0,69	0,79	
0,70	0,52	0,62	0,80	
0,70	0,52	0,70	0,78	
0,70	0,52	0,74	0,78	
0,70	0,52	0,69	0,79	
0,70	0,52	0,76	0,78	
0,70	0,52	0,70	0,79	
0,70	0,52	0,67	0,78	
0,70	0,52	0,66	0,78	
0,70	0,52	0,67	0,80	
0,70	0,52	0,67	0,79	
0,70	0,52	0,70	0,80	
0,70	0,52	0,64	0,78	
0,70	0,52	0,67	0,79	
0,70	0,52	0,66	0,79	
0,70	0,52	0,62	0,80	
0,70	0,52	0,73	0,78	
0,70	0,52	0,65	0,79	
0,70	0,52	0,64	0,79	
0,70	0,52	0,67	0,80	
0,70	0,52	0,64	0,80	
0,70	0,52	0,64	0,79	
0,70	0,52	0,70	0,78	
0,70	0,52	0,62	0,79	
0,70	0,52	0,77	0,78	
0,70	0,52	0,74	0,80	
0,70	0,52	0,71	0,78	
0,70	0,52	0,64	0,80	
0,70	0,52	0,68	0,78	
0,70	0,52	0,68	0,79	
0,70	0,52	0,73	0,79	
0,70	0,52	0,74	0,79	
0,70	0,52	0,73	0,80	
0,70	0,52	0,74	0,79	
0,70	0,52	0,63	0,79	
0,70	0,52	0,69	0,80	
0,70	0,52	0,67	0,80	
0,70	0,52	0,73	0,78	
0,70	0,52	0,66	0,80	
0,70	0,52	0,70	0,79	
0,70	0,52	0,66	0,78	
0,70	0,52	0,60	0,79	
0,70	0,52	0,68	0,78	
0,70	0,52	0,75	0,80	
0,70	0,52	0,66	0,79	
0,70	0,52	0,76	0,80	
0,70	0,52	0,67	0,79	
0,70	0,52	0,67	0,79	
0,70	0,52	0,64	0,78	
0,70	0,52	0,71	0,78	
0,70	0,52	0,70	0,80	
0,70	0,52	0,71	0,79	
0,70	0,52	0,67	0,80	
0,70	0,52	0,65	0,79	
0,70	0,52	0,72	0,79	
0,70	0,52	0,68	0,78	
0,70	0,52	0,74	0,79	
0,70	0,52	0,73	0,77	
0,70	0,52	0,68	0,80	
0,70	0,52	0,74	0,79	
0,70	0,52	0,67	0,79	
0,70	0,52	0,61	0,79	
0,70	0,52	0,68	0,79	
0,70	0,52	0,75	0,77	
0,70	0,52	0,73	0,80	
0,70	0,52	0,71	0,79	
0,70	0,52	0,67	0,79	
0,70	0,52	0,66	0,78	
0,70	0,52	0,68	0,80	
0,70	0,52	0,68	0,78	
0,70	0,52	0,66	0,79	
0,70	0,52	0,64	0,78	
0,70	0,52	0,67	0,78	
0,70	0,52	0,64	0,80	
0,70	0,52	0,64	0,79	
0,70	0,52	0,64	0,78	
0,70	0,52	0,74	0,78	
0,70	0,52	0,72	0,78	
0,70	0,52	0,66	0,78	
0,70	0,52	0,74	0,79	
0,70	0,52	0,71	0,81	
0,70	0,52	0,67	0,80	
0,74	0,40	0,60	0,73	
0,74	0,40	0,50	0,73	
0,74	0,40	0,67	0,74	
0,74	0,40	0,54	0,74	
0,74	0,40	0,58	0,73	
