1968402	900083	1617204	2400371	1186575	1797489	1183451	640813	
896513	834484	1089293	1341870	1512783	1251280	948279	1046452	
1117406	3811408	9971868	3247796	4200983	3056355	4344675	2415543	
113793	186085	270426	247221	356553	328439	1386941	315944	
419920	327993	491319	456958	574322	1515906	601543	539515	
833146	571198	1066981	1515013	1776515	1014323	2380289	2570392	
865722	822436	1215134	1557853	1066534	1585520	1570795	1131240	
60690	13387	18296	16511	20973	28560	36592	30791	
22759	24097	48641	48195	49087	49087	72292	77648	
76755	68722	101298	105760	169128	168236	202597	216877	
76754	71846	116471	108439	131643	132982	157079	146816	
28114	25882	39716	37039	65153	45517	59797	77647	
2656992893	2645385077	2426424782	2407885390	2343257007	2533980036	2639308511	2439056738	
30792	24543	49087	65152	82110	58012	154402	125842	
93712	78986	186531	197242	198580	199919	278905	277566	
621624	452049	581908	680083	1056716	709535	1005398	990672	
144584	145031	237851	262840	280244	683653	470345	515417	
254808	136106	246330	235620	298094	274889	356106	331116	
193226	159311	338256	255254	278905	234281	340042	447587	
145477	46410	39269	36593	147709	125842	194565	66044	
10264	8032	16065	13387	16511	17404	21419	24990	
8925	8032	20081	13388	15619	15172	19635	26775	
17850	16511	33022	42840	24544	22759	45071	29006	
11602	13388	22313	22313	29452	25436	41502	50426	
18296	26329	42393	59351	23205	17403	33468	25436	
14280	11156	20527	20081	22312	23651	24989	21419	
35254	51765	66937	70061	112008	103976	185639	161988	
222678	221785	145923	271319	280244	192333	598865	565397	
19635	16065	30791	25436	31238	32576	47302	32576	
123611	287384	185193	173590	250792	208398	253023	244991	
1736583986	1404480959	1502565483	1446904017	1761491790	1574483333	712557075	804499881	
