3586053	794768	1356595	1146858	1180774	1027264	2112541	1897894	
1351241	787628	2098260	1624345	2007226	1793027	2534691	2126374	
1788564	1652904	3420494	4864109	4691856	4840457	8950405	5622285	
178499	179838	221339	171806	727385	313713	378419	369940	
292739	296755	512293	1660044	505599	503368	621624	655539	
4311653	262840	330224	1646657	286045	271765	458297	499352	
93266	110224	151278	101745	230710	242312	278459	179392	
103083	148601	278906	240528	290954	267303	579677	417689	
2739966	1185236	2369133	1890308	1411930	1843899	4886867	4956928	
224909	253916	1090631	358337	530589	430630	556472	505153	
188317	180285	365031	387344	623856	467222	591279	647060	
329778	231157	396715	311927	307912	278012	356552	267303	
310589	275781	365924	344950	304342	774241	886696	716229	
127627	119148	240082	243651	360568	148600	223571	207059	
143246	219108	564058	370833	330670	1170063	741219	797892	
148601	140122	1000936	734525	457851	350751	684991	1014769	
263733	245883	1236108	715782	900529	855905	932659	882679	
169574	66937	185194	171359	226248	153956	288277	265518	
100406	113347	186532	134768	202597	201258	307465	1208887	
147709	128520	310588	260609	257039	286046	353875	760853	
