BIGGEST	SMALLEST	RANDOM	SIMILARITY
22686515	25286031	1151867	41139252	
95639	79777	153023	170285	
274321	186612	125497	864017	
53185	64848	90041	237465	
3944528	2501077	490325	7632929	
61116	32657	76511	129230	
135294	140426	67181	406816	
54118	27059	33591	88641	
2533268	1399596	367627	5216293	
52718	32657	51785	106369	
234666	272455	119432	800568	
40588	30324	30324	96572	
3712194	1676716	630751	8834249	
69513	56451	44321	285517	
293915	140427	90507	715193	
68580	41054	26125	136694	
4003777	3368361	214605	5109458	
68114	54584	25193	169351	
255193	263124	34057	738520	
53651	47120	24726	110569	
