1033958	34807	40162	80325	37931	32576	65152	28560	29452	1738138	103976	104868	
104868	97282	89250	74523	84341	51765	66491	37485	33915	684992	178500	204828	
192334	215091	100406	75862	67384	67830	44625	40609	38377	1042882	278905	320406	
23652	14727	15619	15619	14726	25436	24544	37484	75862	129413	162435	108439	
26775	24097	20974	22313	20081	19635	28560	34807	41501	137891	149940	132536	
25436	20527	17850	19189	21420	19635	24990	26329	22759	104423	78539	92819	
30792	24097	36146	24990	23651	26775	28113	24544	20973	88357	116471	79878	
37931	26775	25436	25436	31683	23651	28114	23205	22758	93713	80771	935337	
86572	102191	83448	87464	66491	67830	48641	42393	44625	290061	330670	287384	
104422	44625	29898	28560	28560	26328	32576	26328	1465480	137891	81664	128966	
39270	37039	29453	33469	61136	32130	29006	34361	50426	157526	89250	98174	
37038	37931	28560	28113	41055	46409	28560	22759	21420	76308	66045	77647	
22312	18742	17850	20527	33915	25882	27221	26775	20974	49087	64260	34808	
50872	15173	13834	17850	35699	12941	20974	16957	16511	49534	56674	52211	
26775	18742	19189	17403	14727	17404	21420	25883	22759	54889	45517	42394	
20973	16065	20974	15173	29006	582801	31238	37931	37931	58458	49088	47749	
33023	30345	26329	24990	23651	20974	24990	24098	23651	97728	83002	81217	
31684	27221	24098	24544	25436	20974	26775	21866	14280	83448	59797	41055	
16957	14727	33468	23651	19635	13833	17404	16511	27221	71846	64706	87911	
23204	14280	14726	10264	8924	11602	285599	20973	49979	50872	44179	42840	
