RANDOM	SIMILARITY
2172501	45123578	
1389182	25501220	
797885	19568393	
954483	17801789	
289027	18643376	
340674	18459300	
270156	18419902	
248635	18626823	
230096	17716372	
217184	20341780	
253933	17814369	
229765	23154575	
283729	18578817	
271811	17325706	
195002	15980888	
196326	15917984	
255257	15325363	
423111	15545196	
292006	16291434	
262541	15562743	
311540	16061670	
225129	15738542	
192684	20223918	
195002	16966161	
233076	16060015	
222812	16345068	
236717	15120429	
178779	14702616	
165868	14619847	
211225	16016644	
168185	15410780	
218839	15691199	
161895	14608590	
260223	15250873	
209239	14725790	
175138	14973433	
186063	14512580	
187719	14670170	
343985	15221407	
156597	14472189	
202616	14803923	
212549	14914171	
220494	15690537	
164213	14500992	
192354	14828092	
204934	15374363	
228441	14550653	
232414	15025742	
232413	14911523	
219833	15540230	
180104	14953900	
187388	15095268	
195333	14553964	
166860	15200549	
195996	15169097	
200299	14692352	
225461	15653788	
209900	14736715	
364512	15081363	
205928	15357478	
240359	15127713	
314519	15357478	
221156	16052069	
197319	14431136	
213211	14879409	
195001	15117781	
183746	15147578	
218177	15080370	
223143	14487749	
339350	15573006	
192353	14922779	
190367	15672328	
326769	14936022	
236055	14937346	
191360	15190616	
177124	16308981	
233406	15889512	
202286	15142611	
420132	14834382	
169840	14655603	
226454	15051566	
204272	14522512	
195002	15045607	
304918	14366246	
177786	14679441	
181428	14546680	
146665	14918475	
229764	14820146	
198975	14814187	
233075	15403166	
209900	14840341	
175137	15335627	
186394	15024419	
201623	15298547	
250622	14965818	
190367	14937015	
214866	14825443	
185732	14933042	
224799	15054214	
191030	15217764	
38735	169841	
19202	141699	
17547	138057	
16223	187056	
17878	140044	
16554	137726	
15230	132098	
15561	133091	
13905	145010	
29134	163881	
19534	138720	
14899	131105	
14567	132429	
18540	132429	
20196	175137	
37411	142692	
29465	158915	
20526	133422	
13905	168516	
19865	146004	
50323	134084	
13905	135078	
14236	137395	
19202	142693	
14567	129781	
40722	293662	
17216	136071	
19864	195002	
26155	217846	
20195	134416	
20527	133423	
22182	197981	
25162	144348	
17878	138388	
38735	147658	
25823	153287	
17216	173814	
23175	178779	
28472	164875	
19864	156929	
39397	165537	
23837	161232	
19203	156598	
17216	153287	
16884	154942	
20196	157591	
27148	148983	
24168	147327	
19864	137727	
17547	140706	
20858	143686	
15560	127132	
15560	129118	
15891	129118	
16222	138058	
19534	152625	
24499	192684	
30458	141368	
43040	137726	
18871	135409	
33770	145341	
17878	145672	
23838	175468	
23506	145672	
21520	142693	
25824	161564	
28803	137726	
15891	133753	
16223	134085	
21850	135078	
78795	134085	
48005	134747	
14898	126469	
15230	127463	
12912	161232	
30458	184407	
22844	147989	
18871	175800	
25162	154942	
23175	158584	
19202	149314	
17216	160571	
15891	150969	
16884	313526	
37080	275453	
37081	263865	
30790	270155	
35756	305249	
37742	138719	
17878	138388	
18540	153286	
19533	153949	
42377	153287	
30790	167192	
36087	139051	
17547	132098	
13905	134084	
15230	131767	
14568	132761	
13243	129450	
45688	783649	
65221	1094527	
52971	1035596	
45026	1035264	
47675	1038907	
50654	1037914	
42377	1035265	
85417	1628547	
41384	794244	
38404	796892	
39066	932963	
40391	906809	
46019	822716	
45688	818081	
42046	812122	
36749	782657	
44033	791926	
72174	818081	
190698	1619939	
58600	1612987	
50985	1634176	
55290	1641128	
70849	1617953	
59262	1773557	
59925	1635831	
58931	1682844	
67539	1619940	
55289	931639	
37080	928329	
58931	841256	
48999	898531	
44364	908795	
35425	921707	
40060	918066	
33438	898532	
30790	822385	
31121	962429	
41715	813777	
36418	801196	
36749	795237	
44695	837615	
44032	840263	
44695	869397	
49330	807487	
43371	841256	
37411	808480	
33770	801527	
33439	788285	
30790	876019	
43040	871052	
39066	813446	
68863	929984	
36749	812452	
55620	811459	
29135	809474	
36418	807818	
32114	832648	
30128	785305	
28804	785636	
30128	782326	
24830	1006793	
34763	810135	
48998	791926	
27479	795899	
48006	816094	
29797	785305	
45357	839601	
30459	1635500	
49330	1623913	
48337	1730187	
45025	1774882	
62242	1669931	
30459	819074	
39066	845229	
34432	787954	
36749	789940	
27148	860127	
28141	786298	
45357	1663310	
55289	1633844	
51978	823709	
31783	801528	
30459	920051	
36087	802190	
64559	804176	
33769	1655034	
33770	869066	
37411	868073	
29465	989246	
40722	841918	
33438	931639	
31452	810467	
29796	784974	
29466	788615	
28142	830993	
30128	810136	
29797	802190	
29465	786960	
26154	799210	
28804	873702	
21188	129781	
9270	123159	
20858	142030	
16553	140706	
13906	128787	
7945	122828	
11588	123159	
9270	127132	
10264	122828	
9270	126139	
9932	127794	
8939	126801	
13574	129450	
8277	128125	
16885	172489	
13243	134746	
10263	147989	
15230	136071	
11919	125477	
8608	123159	
10594	124152	
11919	122497	
8938	124484	
8277	121834	
9932	121835	
10263	135740	
11918	142030	
9601	167523	
26485	137396	
20196	131436	
9601	124152	
20195	147990	
16222	156597	
12250	143023	
13574	142692	
10594	143024	
12250	154611	
14236	145010	
11257	144348	
7946	140044	
9270	141368	
11257	341337	
25161	146334	
11256	140044	
12581	142692	
12581	279426	
23506	256581	
22513	257244	
18540	252939	
19202	252609	
20526	254595	
19864	302931	
43702	262209	
20526	251615	
21851	250291	
14236	250622	
15891	250953	
8608	122828	
8608	122497	
8277	122496	
23175	147989	
13243	146334	
10595	140375	
9933	140375	
9932	138058	
10595	139713	
10594	138719	
12250	138719	
10594	144679	
11587	139050	
9933	138719	
13905	142361	
11256	138389	
12250	138057	
9270	287040	
24830	334384	
20858	252278	
18209	257574	
14567	251946	
22513	252278	
92038	222481	
11587	122165	
9601	122166	
8608	122166	
9601	123159	
9933	123821	
11588	123821	
9270	121835	
7946	121835	
23175	134085	
12581	166198	
11257	129449	
10595	127794	
10263	127132	
7614	130443	
9601	131105	
11587	127132	
9601	123821	
8939	148321	
14898	129449	
