BIGGEST	SMALLEST	RANDOM	SIMILARITY1020568	105761	62920	95943	
70507	53549	109331	37038	
36593	1932698	77201	75415	
232941	180730	165112	136105	
126734	122271	61582	53103	
67829	205720	201257	174036	
280690	198134	184300	170913	
158864	203043	65598	69168	
85680	520325	540406	521218	
47749	37931	56228	64706	
61583	34361	35700	30791	
30345	108438	95051	106207	
34807	33469	28113	41501	
28113	26329	32576	42840	
31237	140568	60243	59351	
49533	27221	32130	45963	
99959	25436	35253	28114	
26775	112900	60243	1208885	
54888	26775	23205	20973	
20081	19189	20081	30791	
29898	84787	77647	78540	
29898	22759	35253	34361	
31684	35699	22313	24989	
21420	59351	51765	51318	
145031	145923	140122	118702	
118256	113347	34807	43733	
37038	201704	247667	161096	
74524	61136	61136	49980	
49088	68276	41054	50872	
46856	128519	104422	102191	
64259	52211	55335	50426	
51318	47748	38377	41054	
33468	116917	111115	108438	
72292	43732	45071	40162	
24097	24544	22313	19188	
17849	70507	81217	75416	
28114	21866	20974	24989	
17404	12495	37484	28114	
35700	39716	23205	21867	
13387	13833	10710	11602	
16512	18296	23651	20081	
20527	42840	889371	29006	
24990	21867	21867	18742	
12049	12048	23205	26328	
16065	53104	44178	42840	
25882	23205	19635	20081	
18743	19188	28560	19189	
21866	50426	54889	39716	
57566	51319	42393	45964	
43286	44625	27221	25436	
26329	114686	107546	111116	
35700	40162	40608	53103	
44179	37931	25883	24544	
24989	79432	72292	73185	
33915	32130	26774	30345	
28114	27668	21866	18296	
20974	89249	79432	77647	
25883	19189	19635	19635	
19635	19188	33469	18296	
16511	37485	39270	26775	
