BIGGEST	SMALLEST	RANDOM	SIMILARITY
37198457	15062917	2697954	36322777	
13362407	4481506	508520	37277301	
10496036	6085909	749717	24502724	
13508899	2781463	332638	18346368	
5547998	2829050	268722	18039856	
5504143	3584831	505721	24187814	
5617977	3253594	403083	26216762	
5242886	2606514	237931	21267791	
5991203	2464688	228134	17759471	
8888366	2585986	298114	22118745	
7331549	2524871	460933	18269857	
5658099	3835359	409615	32026484	
8516540	4459112	355964	26840048	
8477352	5408972	392820	31942042	
5780331	2194100	286450	21590631	
7063294	2657366	243064	18032392	
5348788	2097061	209940	16389267	
5740676	2148847	243063	19209453	
5041345	3912803	219737	24681405	
6626620	3628218	342901	30241067	
8499278	3220003	213671	16482573	
5366051	2281341	214138	17704887	
4955036	2568258	202009	28652525	
4974631	3040855	276654	28188792	
8341591	2166574	223935	15009265	
5305868	2195033	188479	15406751	
5826984	2533734	259858	15453404	
4846801	2185236	209473	20193835	
5145847	3730389	423611	28758428	
6987249	3835826	233733	26524206	
4924711	2272011	279919	19271501	
5582055	2398908	240731	20144382	
5065604	2623776	190345	15374560	
7227046	2985338	189412	14638373	
6887878	3301180	387688	15368961	
4947104	3028725	221136	15171152	
4802013	2105459	225335	18936065	
5426699	2315864	423145	23716618	
5605848	3092174	197343	23282276	
4928443	2165641	382557	15892877	
8443762	2161909	484727	15206142	
5291871	3689334	221603	15375960	
5009620	2229556	361562	17823853	
4895786	3774710	394686	21969455	
5248018	2134384	298581	15549043	
4825806	2137649	225801	20410772	
4686780	2343857	167951	19385801	
4875726	2165175	233732	15039590	
6699865	3250795	362495	18150891	
7263902	2308867	289716	15540645	
8426033	5135117	494057	24774711	
6538912	3898808	346633	18141095	
5105259	2280408	216004	16375270	
4850999	2243086	160954	21823897	
5319397	2011686	274787	19157201	
6750251	2410570	262191	17726813	
7331549	3570369	256126	15839692	
6786173	3845622	221602	15558374	
5377714	3951526	229534	17581722	
4960167	2141848	296714	16429855	
5107592	2077000	321907	20004889	
5326395	2180104	232333	23633575	
5042744	2567792	265457	16864663	
5112257	2126919	358297	15061050	
9261592	3443005	227201	17436631	
5640371	2377446	246329	22463979	
8287007	2625642	216937	14357520	
5437896	2311666	320041	26695890	
5128585	2123187	176349	21948461	
5023616	2118988	197809	19479107	
5540067	2010286	196876	14389710	
5125786	3623087	258925	14900564	
5230290	2809456	217403	15099772	
5000756	2199232	445071	16230646	
4992359	2388177	249129	14619712	
4891587	2279475	333103	23593453	
6293983	2247284	259859	23480552	
4950370	2458624	196410	24020796	
5059539	2066737	191278	14325796	
8054674	2308866	328439	14360786	
7133273	2014951	246795	14687825	
4864995	2298136	272454	15058718	
4813210	2518806	206674	14174640	
4996090	2108725	279453	26651103	
5338058	2565459	173083	17196833	
4995157	2392376	186146	21412883	
6466599	2054140	297648	16294561	
7942240	3039922	397485	20719149	
7249907	2520672	219736	15089042	
5102926	3225136	326106	15551375	
5266213	2203431	221136	15468333	
5024549	3645014	253327	16363608	
4939641	2088197	182880	22253107	
5179438	2160509	209007	16107015	
5092663	2118988	229067	14846912	
7532158	3572702	184746	15102105	
6069581	2861707	389554	15650280	
4903251	2655033	214605	14759204	
6190412	2007487	210872	21774911	
4952237	3446737	221136	26025951	
87242	55517	31258	234199	
45720	41521	27991	237464	
70446	63448	48985	341034	
91440	51319	22393	175882	
67180	53185	18195	181014	
80244	58783	20994	151156	
64847	52718	33590	330771	
43387	49919	40122	310710	
126430	83510	41522	307911	
84909	64848	34057	274788	
70913	55051	26592	218803	
56917	52718	33591	263591	
56917	52251	47119	395619	
108236	82576	37790	391421	
100771	50385	28458	246795	
75111	33124	28925	147424	
93306	46187	20527	158154	
75112	57850	36856	301846	
69047	59716	37322	258925	
72779	52252	24260	236999	
66714	33123	18661	145558	
41054	59716	30791	239798	
110102	59716	28458	567769	
68580	94706	51318	304179	
113833	53185	31724	401684	
69513	49452	22860	179148	
65781	52718	29858	252860	
154422	111034	56917	285984	
121764	84909	125031	337769	
74178	44787	34990	259859	
38722	45254	26126	142292	
53651	56917	30791	336369	
93772	74645	33590	355964	
98905	76978	31258	300913	
63915	50386	23326	244462	
66714	136694	27526	231867	
40122	52719	22861	137161	
38256	47586	21461	668541	
135294	49452	25192	297181	
73245	50852	23326	248195	
