BIGGEST	SMALLEST	RANDOM	SIMILARITY
18461602	7271367	1272699	53506081	
226735	101704	64848	381157	
436207	522516	86775	1345944	
53652	55984	57384	246795	
11626909	1852132	394686	19763225	
50386	28925	41522	355964	
182880	114300	93306	1075823	
46653	24259	34989	331705	
4708706	1048298	171218	27669542	
51319	122232	66714	447404	
170751	203874	54118	2752538	
45254	36390	22394	259858	
2772599	676471	271522	22837671	
48519	34057	28458	238398	
142292	71846	63448	3070713	
62048	41988	49452	478195	
1877791	709129	182880	23234223	
51319	34057	26592	374625	
140426	145091	44787	1622132	
44787	27525	25660	365294	
