BIGGEST	SMALLEST	RANDOM	SIMILARITY
90536120	18453671	2128319	49993562	
9767312	2661098	507587	25279966	
7466843	3433675	952658	28119279	
9600294	2639171	471664	20208763	
5531203	3375825	445538	24842826	
153489	102637	69979	229534	
70447	885478	52718	362495	
109635	292049	115700	381623	
112434	83975	68114	478195	
104037	88175	33124	393286	
616289	517850	116633	1848400	
544442	488459	89574	1813409	
529514	361096	106369	1971564	
515051	495457	96105	2096595	
494057	450670	109168	2294404	
110101	69979	33590	325173	
95639	55051	56451	274787	
93773	77911	27526	281785	
55051	73712	55517	401218	
101238	90974	30791	251460	
