1398540	89250	63813	107546	
410101	36592	134766	41947	
39716	2962192	69615	69615	
912131	114686	157079	103530	
1088398	61583	52211	35700	
48195	146369	99959	116917	
151278	138337	213753	95943	
105314	114239	48195	45071	
49087	327099	302110	439554	
69169	28114	40162	30345	
49087	32130	26329	23205	
22758	87018	73631	74969	
24990	24990	20973	46856	
25883	23205	30791	19635	
32129	46856	40163	64260	
43732	19635	20081	22758	
22758	20081	30791	22758	
22312	69169	68722	1489574	
33468	24544	23651	26775	
23651	24544	27222	21420	
20081	80770	69614	71399	
33915	29452	30345	29453	
27667	31683	25436	32576	
22313	83895	75862	91035	
112901	94605	91034	128073	
92373	51318	33469	47303	
102190	188316	209290	115578	
56227	57566	51318	197688	
47303	342718	59351	29899	
34361	103530	80324	78093	
88357	44178	42840	39716	
42393	28560	24990	23651	
22313	95497	93266	84787	
52658	56674	41054	41055	
40608	40162	31684	27668	
25883	69168	93266	66937	
25883	25882	23651	20081	
18742	19189	52658	23652	
21420	60243	35254	33915	
21420	15618	16511	16511	
17850	16065	1674321	24990	
20973	46410	1528844	40162	
66937	22759	21866	19188	
19188	20081	24543	29453	
22313	69615	39270	37931	
29453	21866	20973	20528	
17850	17850	916593	21420	
16511	48195	38377	36592	
46856	40162	39716	36592	
900974	40163	29453	25883	
21866	108438	75416	72292	
65152	94158	1117850	40163	
37485	37931	28114	25436	
20081	118256	61136	57119	
29006	26329	30345	53996	
27668	26775	29006	20081	
22312	66938	350751	61582	
28114	18742	22758	23651	
16511	16957	331562	20082	
20081	44179	35700	265518	
