BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.50	0.15	0.36	0.37	
0.50	0.15	0.32	0.37	
0.50	0.15	0.44	0.37	
0.50	0.15	0.32	0.37	
0.50	0.15	0.24	0.37	
0.50	0.15	0.31	0.37	
0.50	0.15	0.23	0.37	
0.50	0.15	0.33	0.37	
0.50	0.15	0.31	0.37	
0.50	0.15	0.27	0.37	
0.50	0.15	0.22	0.37	
0.50	0.15	0.31	0.37	
0.50	0.15	0.32	0.37	
0.50	0.15	0.32	0.37	
0.56	0.19	0.34	0.54	
0.56	0.19	0.37	0.54	
0.56	0.19	0.39	0.54	
0.56	0.19	0.31	0.52	
0.56	0.19	0.38	0.52	
0.56	0.19	0.31	0.54	
0.56	0.19	0.28	0.54	
0.56	0.19	0.36	0.54	
0.56	0.19	0.28	0.54	
0.56	0.19	0.32	0.54	
0.56	0.19	0.31	0.54	
0.56	0.19	0.27	0.54	
0.56	0.19	0.28	0.54	
0.56	0.19	0.26	0.54	
0.56	0.19	0.30	0.54	
0.56	0.19	0.27	0.54	
0.56	0.19	0.35	0.54	
0.56	0.19	0.36	0.54	
0.56	0.19	0.29	0.52	
0.56	0.19	0.42	0.54	
0.56	0.19	0.31	0.54	
0.56	0.19	0.43	0.54	
0.56	0.19	0.32	0.54	
0.56	0.19	0.28	0.54	
0.56	0.19	0.36	0.52	
0.56	0.19	0.29	0.54	
0.56	0.19	0.40	0.54	
0.56	0.19	0.28	0.54	
0.56	0.19	0.51	0.54	
0.56	0.19	0.27	0.54	
0.56	0.19	0.32	0.54	
0.56	0.19	0.38	0.52	
0.56	0.19	0.21	0.54	
0.56	0.19	0.24	0.52	
0.56	0.19	0.32	0.54	
0.56	0.19	0.31	0.54	
0.56	0.19	0.25	0.54	
0.56	0.19	0.26	0.54	
0.56	0.19	0.48	0.54	
0.56	0.19	0.30	0.54	
0.56	0.19	0.29	0.54	
0.56	0.19	0.23	0.54	
0.56	0.19	0.25	0.54	
0.56	0.19	0.31	0.54	
0.56	0.19	0.25	0.54	
0.56	0.19	0.29	0.54	
0.56	0.19	0.33	0.54	
0.56	0.19	0.36	0.54	
0.56	0.19	0.40	0.54	
0.56	0.19	0.31	0.54	
0.56	0.19	0.40	0.54	
0.56	0.19	0.36	0.54	
0.56	0.19	0.43	0.54	
0.56	0.19	0.45	0.54	
0.56	0.19	0.26	0.54	
0.56	0.19	0.33	0.54	
0.56	0.19	0.28	0.52	
0.56	0.19	0.39	0.54	
0.56	0.19	0.29	0.54	
0.56	0.19	0.42	0.54	
0.56	0.19	0.38	0.52	
0.56	0.19	0.34	0.54	
0.56	0.19	0.25	0.54	
0.56	0.19	0.33	0.54	
0.56	0.19	0.21	0.54	
0.56	0.19	0.27	0.54	
0.56	0.19	0.22	0.54	
0.56	0.19	0.34	0.54	
0.56	0.19	0.24	0.54	
0.56	0.19	0.25	0.54	
0.56	0.19	0.28	0.54	
0.56	0.19	0.37	0.52	
0.56	0.19	0.26	0.54	
0.56	0.19	0.25	0.54	
0.56	0.19	0.26	0.54	
0.56	0.19	0.32	0.54	
0.56	0.19	0.38	0.54	
0.56	0.19	0.30	0.54	
0.56	0.19	0.24	0.54	
0.56	0.19	0.36	0.54	
0.56	0.19	0.50	0.54	
0.56	0.19	0.29	0.54	
0.56	0.19	0.34	0.54	
0.56	0.19	0.41	0.54	
0.56	0.19	0.24	0.54	
0.56	0.19	0.35	0.54	
0.56	0.19	0.35	0.54	
0.56	0.19	0.19	0.52	
0.56	0.19	0.32	0.54	
0.56	0.19	0.35	0.52	
0.56	0.19	0.29	0.54	
0.56	0.19	0.34	0.54	
0.56	0.19	0.43	0.54	
0.56	0.19	0.38	0.54	
0.56	0.19	0.35	0.54	
0.56	0.19	0.27	0.54	
0.56	0.19	0.29	0.54	
0.56	0.19	0.35	0.52	
0.56	0.19	0.31	0.54	
0.56	0.19	0.41	0.54	
0.36	0.38	0.41	0.55	
0.36	0.38	0.31	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.31	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.31	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.31	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.41	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.24	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.41	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.55	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.38	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.26	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.41	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.26	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.41	0.55	
0.36	0.38	0.38	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.52	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.52	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.34	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.29	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.31	0.55	
0.36	0.38	0.43	0.55	
0.36	0.38	0.31	0.55	
0.36	0.38	0.38	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.36	0.55	
0.36	0.38	0.41	0.55	
0.36	0.38	0.28	0.55	
0.36	0.38	0.45	0.55	
0.36	0.38	0.29	0.55	
