BIGGEST	SMALLEST	RANDOM	SIMILARITY
7389866	6093840	1250772	102764855	
3118766	1103348	277586	29314067	
1657588	535578	279919	21866352	
2030347	1403328	257059	20632841	
1016573	522049	160020	18111236	
1016107	742252	191745	17382046	
1630063	516917	265923	17902696	
847222	406349	430609	26108526	
997445	418479	88175	17749207	
2004688	1073956	186613	25161000	
1038966	489392	258925	29556664	
1945905	1419190	367160	26496214	
1353876	996512	190345	20414504	
1846066	439940	180548	24194813	
969920	453469	216005	39242333	
1187790	1069291	176349	18198945	
1684180	445538	121298	18618357	
926066	468398	93306	17516875	
885011	429210	85842	20212030	
1769089	864951	164219	21298115	
971786	874748	104037	21295317	
1059961	404017	114300	16694845	
2049941	536979	109168	23196901	
1024038	655010	113367	28926846	
1720103	499189	150690	17410971	
2182437	1059494	133895	15085777	
951259	451603	124097	18262859	
999311	406349	120365	32026950	
1714039	899940	195011	47067940	
1209717	829961	175416	20316533	
905538	646613	141826	30733724	
915336	464200	98905	15661477	
1497568	1334748	188012	14989671	
1763491	920934	224868	18686936	
840691	680670	271055	17894766	
1378135	375092	123631	22834405	
865416	357830	114767	19591075	
907871	773976	169818	15519185	
1203653	358763	103571	20898764	
1155133	635417	210873	16426589	
972253	356897	87708	18723793	
875214	345234	83509	15456202	
850488	626552	108702	19487971	
844423	370893	120365	24988384	
918135	361096	69514	15333505	
951725	362962	98905	16097684	
899940	391420	69513	17026549	
1007243	632617	108236	17054075	
876614	706796	148357	28418326	
909737	626553	142759	22740166	
885011	363429	113368	15838759	
954058	382089	136227	15783708	
1024970	360629	170284	16376204	
867750	408682	107302	14748008	
1760225	772110	202008	20718217	
927932	374625	89574	22696312	
922800	351298	97039	15750584	
1059961	398419	201542	16188191	
936329	768379	203408	21554242	
1621199	461867	261724	31906585	
1949171	929332	248195	22798016	
1295092	627952	79777	18264259	
879880	408682	137627	27512787	
885478	366694	80710	15475798	
1563815	616289	110568	21299981	
936796	356897	135294	15982917	
840691	348499	63448	15200544	
939129	654077	187546	16739165	
1280163	371826	96572	24086577	
933996	376025	187546	15399286	
1427587	609757	183814	18245131	
976452	361562	215071	28395932	
1670651	425477	160021	21583166	
1053896	622820	127830	15386223	
824362	376957	138094	20988805	
835558	358763	95639	19080690	
860751	362496	119432	15331639	
1038500	447870	144159	16472309	
885944	365761	135294	24447207	
887344	678804	218337	15765513	
922800	415680	223469	16824541	
881279	344767	155822	24656679	
1671118	570102	205741	21043390	
1109880	359229	94706	17527605	
945661	363428	133428	16803081	
844423	362495	178682	15276588	
905072	362495	107769	16269368	
871482	375092	94239	22694913	
919535	371826	84909	21401220	
1476574	425477	121765	16897787	
954058	361096	112901	16608537	
926533	355498	104969	17195434	
883611	361096	145558	15722126	
898540	366694	96105	16138739	
1094950	362495	110102	17209430	
866350	348499	114300	15844824	
1320285	845356	164219	15968922	
888743	363428	213671	27040658	
1438785	434341	93306	15860220	
1488237	423611	143225	21691869	
19595	17728	24726	267790	
