3925202	1470388	1291443	1101342	1322681	1120084	2049173	1389617	
1256635	1385602	1117852	1672539	1096432	2308443	2021060	2028199	
2520857	3351326	8885700	3685566	2432947	2924713	4281308	11326233	
196349	178945	335133	328885	1128116	381543	402070	359676	
290062	298540	804586	843856	905884	874647	1002720	1071442	
310143	292293	698379	687222	753267	722922	1315987	578338	
99068	130750	228925	139230	279352	318621	217323	223125	
105761	128073	432861	352982	538622	384667	622963	577892	
1431565	1528848	3910922	4272383	4389300	4377252	10281565	10137427	
343165	306126	921503	805924	965236	820205	909455	1083045	
264625	257931	686330	616269	859921	958988	1613634	586370	
423936	219108	249006	241866	262394	176268	262394	246776	
198134	193226	445802	495782	399838	667141	738988	987102	
178945	172252	344504	338257	453389	352090	547101	492212	
347627	305680	867953	954525	809048	1249496	1496718	2016151	
356107	477932	998258	1973757	951402	752375	1535541	1751972	
1166048	431076	792984	781381	917041	851442	1114728	1110713	
253915	172698	359676	350305	274889	281136	646614	610468	
251238	237404	400731	377526	4403580	223570	427506	192780	
140122	135213	213306	210629	229817	210183	245883	391359	
