BIGGEST	SMALLEST	RANDOM	SIMILARITY
10542222	3764446	798702	38479554	
107769	29391	137160	206673	
246329	337770	104970	1070691	
64381	43387	41988	297181	
23009355	3308645	239331	6773111	
50852	28925	33124	203874	
135761	116166	84442	812232	
45254	35923	32191	167485	
1689312	918135	138560	5167775	
90974	66248	23327	231867	
57383	111034	41988	579899	
23327	20061	24260	100771	
922800	512719	133429	5384711	
25659	27992	41988	130162	
102171	65781	46653	466065	
20994	14462	39189	193611	
3045520	608824	83043	4946638	
25660	18661	19128	107302	
58317	62515	27525	429676	
23793	30791	22860	111035	
