BIGGEST	SMALLEST	RANDOM	SIMILARITY
0.57	0.14	0.28	0.14	
0.57	0.14	0.42	0.0	
0.57	0.14	0.14	0.14	
0.57	0.14	0.14	0.14	
0.57	0.14	0.14	0.14	
0.57	0.14	0.42	0.0	
0.57	0.14	0.14	0.14	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.0	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.28	0.0	
0.57	0.14	0.14	0.14	
0.57	0.14	0.14	0.0	
0.57	0.14	0.42	0.0	
0.57	0.14	0.14	0.14	
0.57	0.14	0.28	0.14	
0.57	0.14	0.28	0.14	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.42	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.0	0.0	
0.57	0.14	0.57	0.0	
0.57	0.14	0.14	0.14	
0.57	0.14	0.0	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.0	0.0	
0.57	0.14	0.28	0.0	
0.57	0.14	0.57	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.28	0.14	
0.57	0.14	0.42	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.28	0.14	
0.57	0.14	0.0	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.42	0.14	
0.57	0.14	0.14	0.0	
0.57	0.14	0.0	0.0	
0.57	0.14	0.42	0.0	
0.57	0.14	0.0	0.14	
0.57	0.14	0.42	0.14	
0.57	0.14	0.28	0.0	
0.57	0.14	0.28	0.0	
0.57	0.14	0.14	0.14	
0.57	0.14	0.28	0.14	
0.57	0.14	0.14	0.14	
0.57	0.14	0.0	0.0	
0.57	0.14	0.0	0.14	
0.57	0.14	0.28	0.0	
0.57	0.14	0.28	0.14	
0.57	0.14	0.42	0.0	
0.57	0.14	0.28	0.14	
0.57	0.14	0.28	0.14	
0.57	0.14	0.57	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.28	0.14	
0.57	0.14	0.14	0.14	
0.57	0.14	0.0	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.28	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.0	0.0	
0.57	0.14	0.14	0.0	
0.57	0.14	0.28	0.0	
0.57	0.14	0.57	0.14	
0.57	0.14	0.42	0.14	
0.57	0.14	0.28	0.14	
0.57	0.14	0.0	0.14	
0.57	0.14	0.14	0.0	
0.57	0.14	0.14	0.0	
