BIGGEST	SMALLEST	RANDOM	SIMILARITY
6675139	4678382	575701	69171290	
1384200	1472842	203875	33880482	
1183591	837425	270588	26463557	
2331727	1002111	296248	20861442	
1086553	541643	213205	17937219	
1055761	1230245	362028	22236778	
958723	493591	167019	21981585	
905539	521583	110101	18414948	
1465843	700264	131562	22456981	
1055762	506654	126897	21181483	
882679	440873	171683	17742676	
1456046	896675	157688	20466756	
1661320	403551	183813	19241643	
1463044	770711	144159	17046144	
1015640	437607	199676	18638417	
950792	737121	204808	24844692	
1132740	436674	107303	16232512	
1084687	446937	135760	19157668	
850955	437607	121765	17342858	
1282029	432009	104503	27991916	
1224180	458601	110568	16009043	
892475	480062	116167	22524161	
1738298	417547	114767	22918847	
1021705	846289	142293	16564216	
1736899	435274	78844	16814277	
915802	452536	110568	24573170	
946593	440406	108235	17271946	
2032680	1066492	139027	26747209	
951725	471664	143225	16430788	
1707041	450203	179148	17393710	
1442517	913469	195943	22984629	
939129	445072	92374	24578302	
1523693	717526	184747	26951083	
2027081	1041766	292515	27861287	
1778419	414280	89574	21084910	
869615	408682	131562	17994603	
1494768	362962	106369	15300381	
858419	356430	111502	17187969	
784707	333571	123165	17542534	
880812	401217	70912	14800259	
2164708	1010041	135761	20751340	
830893	323307	181948	20335193	
906938	357363	124097	14738677	
1142070	762779	132961	14527804	
820630	487060	184280	19973631	
838358	325173	106369	17386246	
852354	343834	91907	17757605	
864017	358763	90973	20087465	
905539	326105	156755	18770446	
876147	358297	116633	15337703	
858885	650812	121765	16245108	
815965	354098	279919	19395132	
853753	341501	92373	14392976	
1303490	562171	133428	17773467	
870082	370426	179615	18265658	
849088	405417	102170	15345635	
905538	352232	105436	15528516	
894342	1030569	170751	18967789	
871015	363895	97505	14310867	
1109413	440873	97972	19348012	
1435986	397952	151623	18673407	
855153	346167	99838	20145315	
1472841	327505	124097	16939308	
838825	356430	86308	16489105	
887810	634017	94239	25598607	
871949	324239	114300	15944195	
823429	455802	126897	19814544	
1061360	330305	89575	16163932	
1334282	353164	77911	15291050	
1375803	623753	190811	21435743	
1660853	373692	196410	17621378	
866817	354564	116633	15107704	
1077222	800102	131095	18563772	
1595539	376492	119432	16575413	
845356	348966	80244	15221071	
