835824	86126	190102	45283957	
83003	39716	39716	240528	
293185	318175	86126	1537772	
62921	84787	28560	71846	
75862	348074	69615	136999	
68723	96835	37485	220893	
74077	74970	46410	679190	
13387	10710	50873	61582	
19635	8479	12942	28560	
34361	17403	22313	66044	
40163	13387	14280	63814	
14280	24544	24098	29453	
34993913	9325254	1352133	55518666	
44625	13388	20081	40608	
9371	8479	13388	23651	
15619	20527	28559	95943	
16511	21866	23205	61583	
26329	23651	23652	73185	
37931	37039	17850	41055	
69615	320853	58012	38824	
10264	10710	16065	9371	
10710	10710	18296	11156	
9818	10264	19188	11602	
9817	13388	18742	12049	
10263	10710	20974	11156	
10264	10264	30791	14280	
24544	22312	34361	71399	
54889	1027264	28114	53550	
8925	8478	13834	8479	
1968848	149493	52658	33022	
33092448	4977009	282922	13330335	
