RANDOM	SIMILARITY
1431320	81621161	
292515	31647194	
220203	21992315	
329372	30802771	
1107080	29685427	
318174	30254596	
225802	47046480	
342434	38842982	
213206	29161978	
267322	20979474	
112434	19081156	
115233	20316999	
144158	18448539	
160020	21173552	
74645	17406773	
69047	17588254	
73712	27047189	
84442	18936531	
82110	17267280	
73712	17602716	
70446	16914115	
137160	17754805	
76977	132887422	
200142	29585589	
90508	18399552	
116166	15683404	
107769	22884324	
61582	31184394	
83976	15923201	
56917	15819165	
145558	17882169	
66714	16692979	
201542	15640016	
114767	24031993	
102171	16182593	
92840	15524783	
160953	21228136	
70913	15966589	
319575	16052431	
53651	19966634	
89574	15854154	
74645	15547176	
67647	28890923	
53651	20737810	
108236	16800281	
109635	16736367	
139960	25163799	
118499	15807502	
133428	16907117	
53184	20649170	
115700	15228535	
37322	15566305	
63448	21684871	
61115	16229246	
144625	18448072	
76044	18044055	
77911	16175129	
80243	15699733	
89574	19116613	
81177	19334017	
81643	17051742	
106369	16166731	
79311	15920869	
86775	16572148	
144159	16941641	
96105	20309535	
116633	23182905	
70447	21094708	
55517	16190524	
52718	21342903	
107769	18788640	
60183	22648725	
93773	17265414	
84909	16060829	
72779	15840625	
93306	15288252	
388155	28661389	
75112	16106082	
55517	15786974	
179614	28520963	
112434	16820343	
67647	15613424	
65315	17154379	
59249	15838759	
75112	15731923	
93773	16559551	
104970	15967522	
72312	15417948	
84442	25753963	
73712	21717528	
167485	16692979	
120832	16361275	
96572	20558662	
77445	15731457	
83509	15502856	
100771	23212296	
90041	22984629	
45721	17909227	
79777	28647393	
75111	27107372	
27059	279919	
31724	279919	
25660	196877	
22860	161420	
27992	160487	
20061	174017	
17729	156754	
16328	183813	
28925	170751	
17262	166552	
16795	263591	
18194	268256	
22394	244930	
20528	269189	
30325	177282	
54584	279919	
21460	257992	
18661	177283	
20061	151157	
21460	187546	
61582	177749	
15396	165619	
16328	168418	
20527	174483	
13996	150690	
54584	265923	
15396	157221	
63448	207607	
16796	393287	
18661	272922	
24260	279453	
28459	370426	
27058	375092	
31257	419878	
35923	400284	
32191	376958	
31258	222069	
24260	353165	
20994	215537	
27525	380224	
24260	255193	
27525	319108	
16329	305578	
18661	282718	
21460	370427	
21460	276187	
20061	270122	
23327	270589	
22860	200142	
18195	265923	
19594	146958	
14463	144625	
16795	148824	
11664	160021	
18661	149290	
13529	146025	
13529	158620	
19128	208073	
13529	261724	
16795	184747	
15862	249595	
18195	269189	
17728	253327	
21927	352232	
20994	428743	
21461	416613	
18195	173550	
17262	174483	
21461	263124	
24726	260792	
21460	256593	
34057	299047	
21927	255659	
16328	253327	
17261	245862	
25193	174483	
22394	271055	
27526	259859	
23327	160953	
27059	265457	
23794	339169	
27526	474930	
30791	309778	
24260	303246	
20994	343367	
52718	193144	
23327	201542	
26126	324239	
28458	327039	
21927	273854	
22860	276187	
25660	305112	
37789	288783	
35457	322373	
114300	306512	
35457	304645	
39655	171218	
14929	172616	
18194	147424	
12596	187080	
41054	1393065	
34057	1807811	
40122	902273	
22860	863550	
18662	1232578	
27059	875681	
29392	1380002	
51319	890610	
26592	1591341	
26592	1083288	
30324	953591	
21927	855153	
22860	963855	
22394	1506431	
44321	1031503	
34057	1586675	
20994	1298825	
39655	1567081	
34990	863551	
28925	851887	
26126	847222	
39656	1073023	
48520	913936	
27525	1296959	
39189	1241442	
34057	1105680	
23793	890609	
22394	859352	
22394	1102882	
26592	1136472	
30324	1141604	
46187	1176593	
21927	1082354	
20061	858885	
38256	1258703	
27525	1164930	
24260	873348	
41521	1700509	
37323	946126	
39656	1066026	
43854	1366938	
35456	1546087	
45253	1397730	
27059	1048297	
64382	1115944	
26592	907871	
24260	933064	
29858	1821807	
236065	1536290	
27059	878013	
30324	1372071	
74645	1551685	
82576	901340	
25193	1358074	
30791	1228845	
638215	1991625	
114301	1393065	
35922	1048764	
27992	932597	
25659	904139	
28459	911604	
29858	977851	
19128	1963166	
19127	926532	
20994	876147	
11663	878479	
8864	889676	
10730	965255	
28458	948926	
23793	1077689	
23794	897607	
18195	1305356	
22861	1218581	
