BIGGEST	SMALLEST	RANDOM	SIMILARITY
29486684	20926290	1802679	52617337	
76511	57383	35457	212738	
390020	190345	136694	994646	
76512	69980	60649	274320	
13078756	4524427	338235	6126497	
72313	40588	43388	145558	
197343	155822	74645	400285	
43387	40122	25659	103570	
3124365	1711705	313976	6404084	
47120	36389	26126	115233	
197809	298581	39189	458135	
36390	95172	22860	85842	
3924000	1711706	329372	5871771	
47586	36390	64382	182880	
270588	171683	43387	473996	
35923	27526	17261	160487	
3707063	3309111	320507	6395219	
52251	35456	41055	185213	
291583	161887	48986	427810	
50852	29391	20527	122232	
