1029496	56227	41948	78540	36593	33915	97282	34807	29899	2264265	111562	91927	
99514	91481	90142	528358	91928	61582	56227	35700	47749	181177	136106	150385	
147708	141907	169574	78986	74524	57566	50872	33469	30792	1741262	378865	310589	
33915	21867	23651	23205	21420	46856	27667	23205	26775	100406	81663	92820	
20974	17403	15619	18296	16064	15619	24544	23205	20082	104422	83448	93712	
24097	20527	18742	19189	17404	30345	22759	21867	25436	93266	83895	1558746	
33023	25883	37485	24990	27221	23651	27668	22312	23651	97728	88357	87018	
28560	27668	24990	24990	32130	25883	27221	22759	21420	95051	111562	107100	
77201	68276	68276	59797	58905	56228	42394	42394	45071	314159	294971	326208	
141015	45517	23651	22313	20527	21420	33915	25436	1406129	79432	66045	95051	
28560	36146	21866	28114	24544	17850	39270	20081	28114	140568	83448	72738	
36592	22758	26329	24097	23651	21867	25437	24097	20974	100406	64706	78094	
25436	17404	16957	16065	15172	14726	24990	21420	19188	47302	48641	41055	
20973	18296	15618	17403	15619	15619	22759	19189	18297	55335	45517	45964	
27668	21867	15619	16065	16065	15619	27221	24097	22313	55335	45964	49979	
24097	17404	24097	11602	22313	20527	24990	21420	31238	51319	43286	41501	
50426	24990	26775	22759	21420	23205	26328	23652	21866	92820	82110	79878	
28560	24097	24990	21420	21866	19188	24990	22312	24097	47302	37484	54442	
19189	13834	32129	16957	14726	13387	19635	13834	13833	70953	66045	62028	
17404	16957	19635	10710	8925	12495	44179	17403	19635	43732	37484	25883	
