G	GE	GRE	H
3808280	1069656	2109414	1424870	
1937162	1002273	2438744	1919758	
4771729	3259841	12398105	10201673	
7393881	3275906	10124026	7835666	
5159964	3906454	13572183	6033718	
5823535	7075260	5632541	5942237	
262840	224017	423489	422150	
469453	451157	664463	575213	
293185	269533	2163410	549777	
640366	469899	648398	356552	
190548	8030677	474808	434200	
473469	556917	607344	626978	
391805	195903	464990	377972	
429737	373064	614930	670711	
307019	294970	608682	621177	
718012	640366	831806	936674	
4920329	2656514	6222481	5310796	
4448645	3966251	3159881	3152295	
224463	211968	534158	900528	
749250	668033	633226	651522	
227586	348965	504707	572982	
629655	612252	1252618	1544910	
980407	206167	530142	488195	
415011	491765	1121421	547546	
181177	291400	351643	384219	
393590	294078	382881	360568	
70507	72292	136105	133429	
173590	141907	202150	196349	
157972	147708	314159	800122	
704179	905437	1110265	1638176	
264179	252577	834930	509168	
543530	435984	380203	301664	
207505	201704	4084061	473915	
637688	811279	842516	626978	
93712	86126	229372	239635	
250792	199473	415010	258378	
109330	103976	256593	254362	
304787	285598	371725	327992	
97282	111115	194118	158418	
171805	160650	180730	285153	
