RANDOM	SIMILARITY
3103370	49267638	
1245174	31900054	
1052962	18584766	
588763	20059473	
438074	19554686	
483327	23458159	
944261	26144916	
199676	20961746	
218804	18211540	
225801	17208030	
346167	23072803	
262191	17979674	
236065	19683449	
179148	17426833	
404016	19337749	
226735	20992070	
221602	20310001	
653611	24806436	
1277831	31193258	
434341	22849801	
465599	23526272	
300446	30926402	
366228	25547289	
361096	26332929	
264057	20160711	
204808	19415660	
204341	15852288	
240264	18820831	
179615	15449205	
212272	17617178	
529980	14853910	
244463	15362896	
469332	22810612	
284585	22099618	
209473	18365030	
199676	15320442	
304179	31356078	
423145	31353745	
378358	25598608	
164686	15946994	
226268	15153424	
234199	20707486	
203875	14726081	
320041	25742766	
359696	16149936	
244463	20630042	
294382	15119834	
267323	17455292	
357363	16746164	
244463	15230868	
221136	17008821	
243063	14491415	
557039	21731524	
212739	15354965	
352232	20506411	
193611	16589876	
252394	18865619	
328439	17477686	
227667	15459935	
238864	21838826	
209473	15647947	
203408	22206920	
252393	15406284	
185680	23140450	
230933	16458780	
279452	22147204	
184280	15198678	
455801	15191213	
278053	20105660	
394219	22956637	
390953	20832983	
233732	16186792	
342434	23660167	
380690	22878726	
313509	23477286	
216470	20727080	
352698	15876082	
239331	19850001	
208540	16621600	
411947	52341151	
345700	52806750	
341035	20383713	
363895	25464712	
376492	29657435	
487992	26562462	
354564	32431901	
297181	19433388	
207607	26014287	
316309	22345480	
393753	24119235	
316309	18231602	
369960	17946551	
385355	29531005	
257526	24021729	
267789	20080934	
228134	15796304	
227668	18504989	
160021	21717061	
314443	16211518	
332171	15749185	
41054	156755	
26593	150223	
25192	269189	
34057	167485	
32191	248661	
24260	300913	
55050	316309	
62982	157688	
42921	140892	
31724	157688	
30791	152556	
31257	164219	
31258	262191	
32657	147891	
32190	492657	
75112	155355	
23794	160953	
20994	177282	
20993	411481	
30792	208540	
80244	154422	
37323	251461	
34523	248661	
340102	271055	
42921	336836	
91906	314909	
150224	676938	
66247	209006	
133895	402617	
40588	272921	
20060	160487	
339636	160486	
32657	263591	
17262	188479	
32657	157222	
24726	149291	
23327	157221	
21461	163753	
18195	148357	
15396	167485	
26126	181014	
22860	275720	
31258	263591	
33124	345700	
32657	541177	
29858	2175439	
27992	195943	
64848	386755	
28458	265457	
25659	177748	
27992	173550	
21927	279919	
30791	257525	
32191	299980	
30791	265923	
26592	202475	
20528	146958	
28458	152555	
16795	310244	
332638	312110	
20527	153022	
44321	312109	
53184	191745	
27525	1626331	
29392	146025	
29391	252860	
25659	215538	
32191	267323	
26126	194543	
31258	161887	
22393	188013	
27992	201076	
24726	174016	
35456	149290	
23327	300913	
24259	192677	
22860	158154	
33590	1078155	
33590	265923	
37323	286451	
260324	241197	
29391	250061	
31258	292048	
31257	246795	
28925	294382	
29391	264057	
42921	327039	
31257	264057	
35923	248195	
25193	270122	
47586	244930	
51785	262191	
41055	253794	
25660	251928	
33124	246329	
27059	191744	
21927	252860	
21927	231399	
21927	229067	
21927	256126	
81177	853754	
48053	1296026	
47120	824362	
71846	1528825	
62049	1402862	
36856	1376269	
49452	829027	
57850	815498	
76045	913470	
40589	842557	
58783	799635	
45720	773043	
36856	776309	
43388	851421	
41521	1088419	
67181	811766	
57383	817364	
68113	801968	
37789	799169	
41055	2754872	
87708	1760692	
76045	1264301	
74645	1279231	
48520	1475641	
49452	1321685	
63448	1050630	
42921	909737	
38722	892475	
29858	788906	
33591	857019	
65315	1261969	
74178	1567547	
71379	1505498	
73246	840691	
46186	794037	
34990	830893	
60183	807566	
48986	1294626	
67647	949392	
58783	1001644	
54584	1012374	
34523	1475174	
63449	1596473	
57850	1890387	
64848	2143714	
57383	1446716	
278053	1306289	
66714	1556817	
44787	823896	
38256	1101015	
55983	811299	
94240	807567	
68580	1404261	
70446	898540	
37323	1425255	
36856	827161	
52252	795904	
27526	791705	
62982	1504099	
41055	1088419	
77911	1049697	
52718	1041765	
44787	784240	
27526	930265	
41055	854220	
29858	1213449	
55984	873348	
52718	1442050	
60182	882212	
59716	822963	
59716	885011	
52251	1174728	
68580	1503632	
53185	907405	
40588	1170063	
65314	2475418	
91440	1515762	
61116	2221625	
62048	940062	
44787	1036167	
44787	1261969	
53651	1259636	
83043	1143470	
46654	871948	
35456	1077222	
39655	1248440	
46653	1405661	
43854	1338013	
62982	1424322	
67647	1087019	
42454	1604870	
35456	871015	
32191	1113612	
44320	938662	
37789	996979	
75579	2020550	
60183	865417	
49453	812232	
48519	778642	
29392	817830	
29858	149290	
13063	220203	
14929	132028	
8398	333104	
10730	221136	
23793	242596	
22860	211806	
24727	211339	
26126	209473	
16329	214138	
25193	287383	
28458	216937	
24260	308378	
24726	164685	
12130	127830	
17729	140893	
12596	131562	
17262	133895	
12596	187546	
20527	221136	
16328	154888	
19594	165152	
14462	182414	
20994	152556	
14463	132028	
25192	138560	
14929	132495	
20994	133894	
16795	151156	
20994	133428	
11197	132029	
12129	132495	
10264	147890	
21927	214138	
15862	217404	
24260	231400	
21927	214138	
24259	232800	
19595	212272	
18661	222069	
23327	230467	
23326	233733	
21927	243997	
23327	175416	
52252	161420	
16329	156755	
20061	180081	
20994	153956	
34057	175883	
20061	160021	
22393	151156	
15395	153956	
16796	183813	
19128	181480	
22393	151622	
12597	130162	
16328	205274	
21461	135294	
23327	138560	
14929	134361	
14462	136694	
11197	125964	
18662	145558	
18195	227201	
32657	150690	
20061	148358	
17262	155355	
16795	136694	
11663	132495	
10264	132029	
13063	131096	
20061	131095	
23327	160020	
31724	133894	
13063	131096	
13529	132029	
9330	139959	
23793	228134	
39189	212272	
25193	169351	
18661	218337	
31724	219736	
15862	227667	
11197	132495	
10264	133894	
11197	164219	
25193	159087	
20994	136694	
15395	268722	
14929	199676	
19595	135761	
28459	141359	
18194	152556	
18195	274787	
23793	232333	
22860	161887	
20527	154888	
18661	249128	
25192	135294	
24726	129229	
